origin,arm,seed,horizon,point,baseline_teacher,input_teacher,coherent,bplus_mean_residual_mm,bplus_rmse_mm,correction_mean_mm,forecast_rmse_mm,new_minus_old_bplus_mean_mm,required_correction_change_mm,actual_correction_change_mm
972,COND_ATTN,1,112,ATU1,792,612,False,-42.433072756226345,42.710156503284544,-4.0014503010309825,39.353275125012303,21.409737626373353,-21.409737626373353,-10.369781171640893
972,COND_ATTN,1,112,ATU5,792,612,False,-55.559442595163581,55.679041939052382,-5.5934820484333647,51.094693762539322,4.4057424380267181,-4.4057424380267181,-14.898754894815379
972,COND_ATTN,1,112,MJ3,792,612,False,-8.9176489462169855,13.377372317981186,-48.463581852504959,40.52402164095944,-147.93857438172765,147.93857438172765,41.672123854622214
972,COND_ATTN,1,112,MJ1,792,612,False,-30.707016574041312,31.122557434773654,-15.516003876122763,16.765636494078894,-35.820085125443597,35.820085125443597,4.2722018642244759
972,COND_ATTN,1,112,ATU1,612,792,False,-21.023335129852992,21.204192860234265,-14.371231472671875,8.4261942281816378,21.409737626373353,-21.409737626373353,-10.369781171640893
972,COND_ATTN,1,112,ATU5,612,792,False,-51.153700157136861,51.438906493344064,-20.492236943248745,32.548921818842906,4.4057424380267181,-4.4057424380267181,-14.898754894815379
972,COND_ATTN,1,112,MJ3,612,792,False,-156.8562233279446,157.3867294018527,-6.7914579978827563,150.35651461791062,-147.93857438172765,147.93857438172765,41.672123854622214
972,COND_ATTN,1,112,MJ1,612,792,False,-66.527101699484902,68.187034111117285,-11.243802011898291,57.276703909011104,-35.820085125443597,35.820085125443597,4.2722018642244759
972,COND_ATTN,1,112,ATU1,612,612,True,-21.023335129852992,21.204192860234265,-4.0014503010309825,18.026458870257578,21.409737626373353,-21.409737626373353,-10.369781171640893
972,COND_ATTN,1,112,ATU5,612,612,True,-51.153700157136861,51.438906493344064,-5.5934820484333647,47.124077252420044,4.4057424380267181,-4.4057424380267181,-14.898754894815379
972,COND_ATTN,1,112,MJ3,612,612,True,-156.8562233279446,157.3867294018527,-48.463581852504959,108.98960842104944,-147.93857438172765,147.93857438172765,41.672123854622214
972,COND_ATTN,1,112,MJ1,612,612,True,-66.527101699484902,68.187034111117285,-15.516003876122763,53.473290453889668,-35.820085125443597,35.820085125443597,4.2722018642244759
972,COND_ATTN,2,112,ATU1,792,792,True,-42.433072756226345,42.710156503284544,-15.03188841684757,28.337838015175958,21.409737626373353,-21.409737626373353,-5.31132705659605
972,COND_ATTN,2,112,ATU5,792,792,True,-55.559442595163581,55.679041939052382,-18.953215678246135,37.715394098395564,4.4057424380267181,-4.4057424380267181,-3.3478175550766927
972,COND_ATTN,2,112,MJ3,792,792,True,-8.9176489462169855,13.377372317981186,-1.5229813879289078,12.42244256381017,-147.93857438172765,147.93857438172765,36.297461842965035
972,COND_ATTN,2,112,MJ1,792,792,True,-30.707016574041312,31.122557434773654,-10.054105548980427,21.623145050123455,-35.820085125443597,35.820085125443597,6.0532801534855354
972,COND_ATTN,2,112,ATU1,792,612,False,-42.433072756226345,42.710156503284544,-9.7205613602515211,33.586002570178721,21.409737626373353,-21.409737626373353,-5.31132705659605
972,COND_ATTN,2,112,ATU5,792,612,False,-55.559442595163581,55.679041939052382,-15.605398123169445,41.209132183697662,4.4057424380267181,-4.4057424380267181,-3.3478175550766927
972,COND_ATTN,2,112,MJ3,792,612,False,-8.9176489462169855,13.377372317981186,-37.820443230893943,30.724951043469886,-147.93857438172765,147.93857438172765,36.297461842965035
972,COND_ATTN,2,112,MJ1,792,612,False,-30.707016574041312,31.122557434773654,-16.107385702465965,15.946484275665776,-35.820085125443597,35.820085125443597,6.0532801534855354
972,COND_ATTN,2,112,ATU1,612,792,False,-21.023335129852992,21.204192860234265,-15.03188841684757,7.4327980983031843,21.409737626373353,-21.409737626373353,-5.31132705659605
972,COND_ATTN,2,112,ATU5,612,792,False,-51.153700157136861,51.438906493344064,-18.953215678246135,33.940661984446443,4.4057424380267181,-4.4057424380267181,-3.3478175550766927
972,COND_ATTN,2,112,MJ3,612,792,False,-156.8562233279446,157.3867294018527,-1.5229813879289078,155.87136382191341,-147.93857438172765,147.93857438172765,36.297461842965035
972,COND_ATTN,2,112,MJ1,612,792,False,-66.527101699484902,68.187034111117285,-10.054105548980427,58.761803442628448,-35.820085125443597,35.820085125443597,6.0532801534855354
972,COND_ATTN,2,112,ATU1,612,612,True,-21.023335129852992,21.204192860234265,-9.7205613602515211,12.290519866069292,21.409737626373353,-21.409737626373353,-5.31132705659605
972,COND_ATTN,2,112,ATU5,612,612,True,-51.153700157136861,51.438906493344064,-15.605398123169445,37.411148386967326,4.4057424380267181,-4.4057424380267181,-3.3478175550766927
972,COND_ATTN,2,112,MJ3,612,612,True,-156.8562233279446,157.3867294018527,-37.820443230893943,119.68306232949466,-147.93857438172765,147.93857438172765,36.297461842965035
972,COND_ATTN,2,112,MJ1,612,612,True,-66.527101699484902,68.187034111117285,-16.107385702465965,52.780085238746196,-35.820085125443597,35.820085125443597,6.0532801534855354
972,COND_ATTN,ensemble,112,ATU1,792,792,True,-42.433072756226345,42.710156503284544,-14.530304924037324,28.903572975120284,21.409737626373353,-21.409737626373353,-8.7152322623393399
972,COND_ATTN,ensemble,112,ATU5,792,792,True,-55.559442595163581,55.679041939052382,-19.615699694563887,37.234062584531003,4.4057424380267181,-4.4057424380267181,-10.952226777411669
972,COND_ATTN,ensemble,112,MJ3,792,792,True,-8.9176489462169855,13.377372317981186,-4.0057004937229452,8.7917815517699527,-147.93857438172765,147.93857438172765,40.506294361763146
972,COND_ATTN,ensemble,112,MJ1,792,792,True,-30.707016574041312,31.122557434773654,-10.010031857375926,21.394376656821006,-35.820085125443597,35.820085125443597,5.6137150570837804
972,COND_ATTN,ensemble,112,ATU1,792,612,False,-42.433072756226345,42.710156503284544,-5.8150726616979842,37.327913433430744,21.409737626373353,-21.409737626373353,-8.7152322623393399
972,COND_ATTN,ensemble,112,ATU5,792,612,False,-55.559442595163581,55.679041939052382,-8.6634729171522196,47.731735369547799,4.4057424380267181,-4.4057424380267181,-10.952226777411669
972,COND_ATTN,ensemble,112,MJ3,792,612,False,-8.9176489462169855,13.377372317981186,-44.511994855486087,36.83215026833895,-147.93857438172765,147.93857438172765,40.506294361763146
972,COND_ATTN,ensemble,112,MJ1,792,612,False,-30.707016574041312,31.122557434773654,-15.623746914459705,16.28458842115279,-35.820085125443597,35.820085125443597,5.6137150570837804
