split,evaluation_role,estimator,subset,reliability_kind,class_level,class_color,bin_index,bin_lower,bin_upper,count,mean_predicted_probability,observed_frequency,class_support,calibration_status
fit,training_only,ngboost,transition_only,one_vs_rest,1.0,blue,6,0.6000000000000001,0.7000000000000001,50,0.6528645768716571,0.02,265,ok
fit,training_only,ngboost,transition_only,one_vs_rest,1.0,blue,7,0.7000000000000001,0.8,41,0.75819244206935,0.0,265,ok
fit,training_only,ngboost,transition_only,one_vs_rest,1.0,blue,8,0.8,0.9,47,0.8477768074749872,0.0,265,ok
fit,training_only,ngboost,transition_only,one_vs_rest,1.0,blue,9,0.9,1.0,44,0.9343996506800569,0.0,265,ok
fit,training_only,ngboost,transition_only,one_vs_rest,2.0,yellow,0,0.0,0.1,436,0.002293610984936032,0.020642201834862386,75,ok
fit,training_only,ngboost,transition_only,one_vs_rest,2.0,yellow,1,0.1,0.2,10,0.1430889913245516,1.0,75,ok
fit,training_only,ngboost,transition_only,one_vs_rest,2.0,yellow,2,0.2,0.30000000000000004,12,0.25936838265436907,1.0,75,ok
fit,training_only,ngboost,transition_only,one_vs_rest,2.0,yellow,3,0.30000000000000004,0.4,7,0.3559109907950816,1.0,75,ok
fit,training_only,ngboost,transition_only,one_vs_rest,2.0,yellow,4,0.4,0.5,34,0.4489463108867095,0.7352941176470589,75,ok
fit,training_only,ngboost,transition_only,one_vs_rest,2.0,yellow,5,0.5,0.6000000000000001,6,0.5296179392553677,0.8333333333333334,75,ok
fit,training_only,ngboost,transition_only,one_vs_rest,2.0,yellow,6,0.6000000000000001,0.7000000000000001,20,0.6337916603070967,0.0,75,ok
fit,training_only,ngboost,transition_only,one_vs_rest,2.0,yellow,7,0.7000000000000001,0.8,20,0.7352352462509681,0.35,75,ok
fit,training_only,ngboost,transition_only,one_vs_rest,2.0,yellow,8,0.8,0.9,11,0.8448271514114087,0.0,75,ok
fit,training_only,ngboost,transition_only,one_vs_rest,2.0,yellow,9,0.9,1.0,19,0.9335580751363322,0.0,75,ok
fit,training_only,ngboost,transition_only,one_vs_rest,3.0,orange,0,0.0,0.1,537,0.0006047629510650232,0.00558659217877095,20,ok
fit,training_only,ngboost,transition_only,one_vs_rest,3.0,orange,1,0.1,0.2,6,0.1483019567140774,0.8333333333333334,20,ok
fit,training_only,ngboost,transition_only,one_vs_rest,3.0,orange,2,0.2,0.30000000000000004,13,0.24546612436654458,0.38461538461538464,20,ok
fit,training_only,ngboost,transition_only,one_vs_rest,3.0,orange,3,0.30000000000000004,0.4,1,0.31940960430464915,1.0,20,ok
fit,training_only,ngboost,transition_only,one_vs_rest,3.0,orange,4,0.4,0.5,4,0.4459908499064545,0.25,20,ok
fit,training_only,ngboost,transition_only,one_vs_rest,3.0,orange,5,0.5,0.6000000000000001,3,0.5582468105247385,0.6666666666666666,20,ok
fit,training_only,ngboost,transition_only,one_vs_rest,3.0,orange,6,0.6000000000000001,0.7000000000000001,4,0.6697491129081676,0.0,20,ok
fit,training_only,ngboost,transition_only,one_vs_rest,3.0,orange,7,0.7000000000000001,0.8,4,0.7281784055669829,0.0,20,ok
fit,training_only,ngboost,transition_only,one_vs_rest,3.0,orange,8,0.8,0.9,0,,,20,empty_bin
fit,training_only,ngboost,transition_only,one_vs_rest,3.0,orange,9,0.9,1.0,3,0.9583354694420789,1.0,20,ok
fit,training_only,ngboost,transition_only,one_vs_rest,4.0,red,0,0.0,0.1,564,0.00011937411947625913,0.0,7,ok
fit,training_only,ngboost,transition_only,one_vs_rest,4.0,red,1,0.1,0.2,0,,,7,empty_bin
fit,training_only,ngboost,transition_only,one_vs_rest,4.0,red,2,0.2,0.30000000000000004,0,,,7,empty_bin
fit,training_only,ngboost,transition_only,one_vs_rest,4.0,red,3,0.30000000000000004,0.4,2,0.30945143295938315,1.0,7,ok
fit,training_only,ngboost,transition_only,one_vs_rest,4.0,red,4,0.4,0.5,1,0.4629858630037933,1.0,7,ok
fit,training_only,ngboost,transition_only,one_vs_rest,4.0,red,5,0.5,0.6000000000000001,3,0.5176624190686078,0.6666666666666666,7,ok
fit,training_only,ngboost,transition_only,one_vs_rest,4.0,red,6,0.6000000000000001,0.7000000000000001,0,,,7,empty_bin
fit,training_only,ngboost,transition_only,one_vs_rest,4.0,red,7,0.7000000000000001,0.8,1,0.7008772805233512,1.0,7,ok
fit,training_only,ngboost,transition_only,one_vs_rest,4.0,red,8,0.8,0.9,2,0.877162835895624,0.0,7,ok
fit,training_only,ngboost,transition_only,one_vs_rest,4.0,red,9,0.9,1.0,2,0.9431441331570207,0.5,7,ok
fit,training_only,fit_majority_prior,transition_only,top_label,,,0,0.0,0.1,0,,,575,empty_bin
fit,training_only,fit_majority_prior,transition_only,top_label,,,1,0.1,0.2,0,,,575,empty_bin
fit,training_only,fit_majority_prior,transition_only,top_label,,,2,0.2,0.30000000000000004,0,,,575,empty_bin
fit,training_only,fit_majority_prior,transition_only,top_label,,,3,0.30000000000000004,0.4,0,,,575,empty_bin
fit,training_only,fit_majority_prior,transition_only,top_label,,,4,0.4,0.5,575,0.48598901098901104,0.3617391304347826,575,ok
fit,training_only,fit_majority_prior,transition_only,top_label,,,5,0.5,0.6000000000000001,0,,,575,empty_bin
fit,training_only,fit_majority_prior,transition_only,top_label,,,6,0.6000000000000001,0.7000000000000001,0,,,575,empty_bin
fit,training_only,fit_majority_prior,transition_only,top_label,,,7,0.7000000000000001,0.8,0,,,575,empty_bin
fit,training_only,fit_majority_prior,transition_only,top_label,,,8,0.8,0.9,0,,,575,empty_bin
fit,training_only,fit_majority_prior,transition_only,top_label,,,9,0.9,1.0,0,,,575,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,0.0,green,0,0.0,0.1,0,,,208,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,0.0,green,1,0.1,0.2,0,,,208,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,0.0,green,2,0.2,0.30000000000000004,0,,,208,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,0.0,green,3,0.30000000000000004,0.4,0,,,208,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,0.0,green,4,0.4,0.5,575,0.48598901098901104,0.3617391304347826,208,ok
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,0.0,green,5,0.5,0.6000000000000001,0,,,208,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,0.0,green,6,0.6000000000000001,0.7000000000000001,0,,,208,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,0.0,green,7,0.7000000000000001,0.8,0,,,208,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,0.0,green,8,0.8,0.9,0,,,208,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,0.0,green,9,0.9,1.0,0,,,208,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,1.0,blue,0,0.0,0.1,0,,,265,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,1.0,blue,1,0.1,0.2,0,,,265,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,1.0,blue,2,0.2,0.30000000000000004,0,,,265,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,1.0,blue,3,0.30000000000000004,0.4,575,0.3942307692307693,0.4608695652173913,265,ok
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,1.0,blue,4,0.4,0.5,0,,,265,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,1.0,blue,5,0.5,0.6000000000000001,0,,,265,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,1.0,blue,6,0.6000000000000001,0.7000000000000001,0,,,265,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,1.0,blue,7,0.7000000000000001,0.8,0,,,265,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,1.0,blue,8,0.8,0.9,0,,,265,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,1.0,blue,9,0.9,1.0,0,,,265,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,2.0,yellow,0,0.0,0.1,575,0.09629120879120881,0.13043478260869565,75,ok
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,2.0,yellow,1,0.1,0.2,0,,,75,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,2.0,yellow,2,0.2,0.30000000000000004,0,,,75,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,2.0,yellow,3,0.30000000000000004,0.4,0,,,75,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,2.0,yellow,4,0.4,0.5,0,,,75,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,2.0,yellow,5,0.5,0.6000000000000001,0,,,75,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,2.0,yellow,6,0.6000000000000001,0.7000000000000001,0,,,75,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,2.0,yellow,7,0.7000000000000001,0.8,0,,,75,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,2.0,yellow,8,0.8,0.9,0,,,75,empty_bin
fit,training_only,fit_majority_prior,transition_only,one_vs_rest,2.0,yellow,9,0.9,1.0,0,,,75,empty_bin
