split,evaluation_role,estimator,subset,metric,class_level,class_color,value,numerator,denominator,status
calibration,chronological_evaluation_only,ngboost,all,macro_f1_fixed_five,,,0.7238658695205313,,,ok
calibration,chronological_evaluation_only,ngboost,all,macro_f1_supported_classes,,,0.9048323369006641,,,ok
calibration,chronological_evaluation_only,ngboost,all,precision,0.0,green,0.8745454545454545,,,ok
calibration,chronological_evaluation_only,ngboost,all,recall,0.0,green,0.9058380414312618,,,ok
calibration,chronological_evaluation_only,ngboost,all,f1,0.0,green,0.8899167437557817,,,ok
calibration,chronological_evaluation_only,ngboost,all,support,0.0,green,531.0,531.0,1808.0,ok
calibration,chronological_evaluation_only,ngboost,all,precision,1.0,blue,0.9263285024154589,,,ok
calibration,chronological_evaluation_only,ngboost,all,recall,1.0,blue,0.9055489964580874,,,ok
calibration,chronological_evaluation_only,ngboost,all,f1,1.0,blue,0.9158208955223881,,,ok
calibration,chronological_evaluation_only,ngboost,all,support,1.0,blue,847.0,847.0,1808.0,ok
calibration,chronological_evaluation_only,ngboost,all,precision,2.0,yellow,0.8980263157894737,,,ok
calibration,chronological_evaluation_only,ngboost,all,recall,2.0,yellow,0.9512195121951219,,,ok
calibration,chronological_evaluation_only,ngboost,all,f1,2.0,yellow,0.9238578680203046,,,ok
calibration,chronological_evaluation_only,ngboost,all,support,2.0,yellow,287.0,287.0,1808.0,ok
calibration,chronological_evaluation_only,ngboost,all,precision,3.0,orange,0.975,,,ok
calibration,chronological_evaluation_only,ngboost,all,recall,3.0,orange,0.8181818181818182,,,ok
calibration,chronological_evaluation_only,ngboost,all,f1,3.0,orange,0.8897338403041825,,,ok
calibration,chronological_evaluation_only,ngboost,all,support,3.0,orange,143.0,143.0,1808.0,ok
calibration,chronological_evaluation_only,ngboost,all,precision,4.0,red,,,,absent_target_class
calibration,chronological_evaluation_only,ngboost,all,recall,4.0,red,,,,absent_target_class
calibration,chronological_evaluation_only,ngboost,all,f1,4.0,red,,,,absent_target_class
calibration,chronological_evaluation_only,ngboost,all,support,4.0,red,0.0,0.0,1808.0,absent_target_class
calibration,chronological_evaluation_only,ngboost,all,balanced_accuracy_supported_classes,,,0.8951970920665724,,,ok
calibration,chronological_evaluation_only,ngboost,all,ordinal_mae,,,0.09402654867256637,,,ok
calibration,chronological_evaluation_only,ngboost,all,quadratic_weighted_kappa,,,0.9387926117807495,,,ok
calibration,chronological_evaluation_only,ngboost,all,false_escalation_vs_proxy_count,,,70.0,70.0,1808.0,ok
calibration,chronological_evaluation_only,ngboost,all,false_escalation_vs_proxy_rate,,,0.03871681415929203,70.0,1808.0,ok
calibration,chronological_evaluation_only,ngboost,all,false_deescalation_vs_proxy_count,,,100.0,100.0,1808.0,ok
calibration,chronological_evaluation_only,ngboost,all,false_deescalation_vs_proxy_rate,,,0.05530973451327434,100.0,1808.0,ok
calibration,chronological_evaluation_only,ngboost,all,multiclass_log_loss,,,0.24831625079996308,,,ok
