component,outer_days,strategy,part,station,days,rmse_mm,mae_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
deterministic,612,P0,prediction,ATU5,180,5.021708368573075,4.3470540930039006,32.8041097967054,1.0,358.9989638336374,358.9989638336374,1.0,460.77018233053093,460.77018233053093,1.0,549.0415358422515,549.0415358422515
deterministic,612,P0,prediction,MJ3,180,61.04552849517042,50.59326022797686,43.768373211664326,0.2722222222222222,37.73019809409214,379.95223109758257,0.3333333333333333,48.42618504948785,658.9623214062602,0.38333333333333336,57.703358494405784,1161.1166168322438
deterministic,612,P0,prediction,MJ1,180,18.647526258184858,15.311142958359284,10.809504291196586,0.8222222222222222,56.07555087149819,58.37498572750668,1.0,71.97219045823954,71.97219045823954,1.0,85.76015441636478,85.76015441636478
seed_0,612,IN,train,ATU1,582,2.3810728177099034,1.733033073523726,15.275533708209936,1.0,167.15773822197366,167.15773822197366,1.0,214.54463460287357,214.54463460287357,1.0,255.6456997570591,255.6456997570591
seed_0,612,IN,train,ATU5,582,2.3092122913202897,1.8427238875531526,35.39032810865508,1.0,387.99739642929666,387.99739642929666,1.0,497.9892676775108,497.9892676775108,1.0,593.3908113925746,593.3908113925746
seed_0,612,IN,train,MJ3,582,1.7948745532908568,1.3648764034680894,2.558335327834345,1.0,26.720546275269797,26.720546275269797,1.0,34.29544990255939,34.29544990255939,1.0,40.865549050209964,40.865549050209964
seed_0,612,IN,train,MJ1,582,2.4156543882217862,1.7371854162704115,3.3266838955827747,1.0,34.61471981429975,34.61471981429975,1.0,44.42751196225152,44.42751196225152,1.0,52.938645634640466,52.938645634640466
seed_0,612,IN,prediction,ATU1,180,12.751032732688177,10.61239165817996,16.227400395393104,1.0,167.15773822197372,167.15773822197372,1.0,214.54463460287363,214.54463460287363,1.0,255.64569975705913,255.64569975705913
seed_0,612,IN,prediction,ATU5,180,9.994995554478953,7.959899607188729,35.63930379231014,1.0,387.9973964292965,387.9973964292965,1.0,497.98926767751084,497.98926767751084,1.0,593.3908113925745,593.3908113925745
seed_0,612,IN,prediction,MJ3,180,60.25838075860578,51.33890715453131,45.91521235032339,0.14444444444444443,26.72054627526974,413.39647812726344,0.19444444444444445,34.29544990255887,744.4821273035401,0.23333333333333334,40.86554905020945,1357.6123730514528
seed_0,612,IN,prediction,MJ1,180,17.643784666994428,13.976527584721236,10.304350561107011,0.6111111111111112,34.61471981429973,70.50637904016908,0.6722222222222223,44.4275119622515,81.70280314927878,0.7777777777777778,52.93864563464044,77.79696981551753
seed_1,612,IN,train,ATU1,582,2.583500959143195,1.9793854334746968,14.21497008708774,1.0,155.42463424140396,155.42463424140396,1.0,199.4853586576219,199.4853586576219,1.0,237.70146570998224,237.70146570998224
