origin,method,seed,horizon,point,error,absolute_error,squared_error
792,BPLUS_ORIGIN_ANCHOR,2,7,MJ1,0.75314369517820978,0.75314369517820978,0.5672254255866882
792,BPLUS_ORIGIN_ANCHOR,2,30,ATU1,7.0103954634330421,7.0103954634330421,49.145644553722576
792,BPLUS_ORIGIN_ANCHOR,2,30,ATU5,5.6684571478983798,5.6684571478983798,32.131406437560237
792,BPLUS_ORIGIN_ANCHOR,2,30,MJ3,-0.3006990060298449,0.3006990060298449,0.090419892227336693
792,BPLUS_ORIGIN_ANCHOR,2,30,MJ1,6.016235054769254,6.016235054769254,36.195084234234407
792,DRIFT1,ensemble,1,ATU1,0.0043137864999494013,0.0043137864999494013,1.8608753967145707e-05
792,DRIFT1,ensemble,1,ATU5,0.0023455627075463781,0.0023455627075463781,5.5016644150322961e-06
792,DRIFT1,ensemble,1,MJ3,-0.0055691056397790817,0.0055691056397790817,3.1014937627019176e-05
792,DRIFT1,ensemble,1,MJ1,0.0068098443605322245,0.0068098443605322245,4.6373980214672544e-05
792,DRIFT1,ensemble,7,ATU1,0.11050949451845327,0.11050949451845327,0.012212348378724052
792,DRIFT1,ensemble,7,ATU5,0.063604313893847575,0.063604313893847575,0.0040455087459070919
792,DRIFT1,ensemble,7,MJ3,-0.1532881651714888,0.1532881651714888,0.023497261581641633
792,DRIFT1,ensemble,7,MJ1,0.18505534092639664,0.18505534092639664,0.034245479205384892
792,DRIFT1,ensemble,30,ATU1,0.33765788225662163,0.33765788225662163,0.11401284545002656
792,DRIFT1,ensemble,30,ATU5,0.36432567149552142,0.36432567149552142,0.1327331949106626
792,DRIFT1,ensemble,30,MJ3,-1.8668555484950957,1.8668555484950957,3.4851496389469245
792,DRIFT1,ensemble,30,MJ1,2.0773582365505945,2.0773582365505945,4.3154172429645961
792,DRIFT1,0,1,ATU1,0.0043137864999494013,0.0043137864999494013,1.8608753967145707e-05
792,DRIFT1,0,1,ATU5,0.0023455627075463781,0.0023455627075463781,5.5016644150322961e-06
792,DRIFT1,0,1,MJ3,-0.0055691056397790817,0.0055691056397790817,3.1014937627019176e-05
792,DRIFT1,0,1,MJ1,0.0068098443605322245,0.0068098443605322245,4.6373980214672544e-05
792,DRIFT1,0,7,ATU1,0.11050949451845327,0.11050949451845327,0.012212348378724052
792,DRIFT1,0,7,ATU5,0.063604313893847575,0.063604313893847575,0.0040455087459070919
792,DRIFT1,0,7,MJ3,-0.1532881651714888,0.1532881651714888,0.023497261581641633
792,DRIFT1,0,7,MJ1,0.18505534092639664,0.18505534092639664,0.034245479205384892
792,DRIFT1,0,30,ATU1,0.33765788225662163,0.33765788225662163,0.11401284545002656
792,DRIFT1,0,30,ATU5,0.36432567149552142,0.36432567149552142,0.1327331949106626
792,DRIFT1,0,30,MJ3,-1.8668555484950957,1.8668555484950957,3.4851496389469245
792,DRIFT1,0,30,MJ1,2.0773582365505945,2.0773582365505945,4.3154172429645961
792,DRIFT1,1,1,ATU1,0.0043137864999494013,0.0043137864999494013,1.8608753967145707e-05
792,DRIFT1,1,1,ATU5,0.0023455627075463781,0.0023455627075463781,5.5016644150322961e-06
792,DRIFT1,1,1,MJ3,-0.0055691056397790817,0.0055691056397790817,3.1014937627019176e-05
792,DRIFT1,1,1,MJ1,0.0068098443605322245,0.0068098443605322245,4.6373980214672544e-05
792,DRIFT1,1,7,ATU1,0.11050949451845327,0.11050949451845327,0.012212348378724052
792,DRIFT1,1,7,ATU5,0.063604313893847575,0.063604313893847575,0.0040455087459070919
792,DRIFT1,1,7,MJ3,-0.1532881651714888,0.1532881651714888,0.023497261581641633
792,DRIFT1,1,7,MJ1,0.18505534092639664,0.18505534092639664,0.034245479205384892
792,DRIFT1,1,30,ATU1,0.33765788225662163,0.33765788225662163,0.11401284545002656
792,DRIFT1,1,30,ATU5,0.36432567149552142,0.36432567149552142,0.1327331949106626
792,DRIFT1,1,30,MJ3,-1.8668555484950957,1.8668555484950957,3.4851496389469245
792,DRIFT1,1,30,MJ1,2.0773582365505945,2.0773582365505945,4.3154172429645961
792,DRIFT1,2,1,ATU1,0.0043137864999494013,0.0043137864999494013,1.8608753967145707e-05
792,DRIFT1,2,1,ATU5,0.0023455627075463781,0.0023455627075463781,5.5016644150322961e-06
792,DRIFT1,2,1,MJ3,-0.0055691056397790817,0.0055691056397790817,3.1014937627019176e-05
792,DRIFT1,2,1,MJ1,0.0068098443605322245,0.0068098443605322245,4.6373980214672544e-05
