task,feature,feature_group,fold_count,mean_normalized_share,median_rank,rank_q25,rank_q75,rank_iqr,best_rank,worst_rank,top_k,top_k_folds,direction_valid_folds,direction_positive_folds,direction_negative_folds,direction_zero_folds,dominant_direction,direction_consistency,median_direction_spearman
regression,RWL_rate_lag1,environmental_rates,5,7.1354900742235e-05,56.0,51.0,66.0,15.0,28.0,75.0,10,0,5,4,1,0,positive,0.8,0.30088876207654536
regression,GWT_rate_lag1,environmental_rates,5,0.00014413839943319088,57.0,34.0,59.0,25.0,16.0,78.5,10,0,4,2,2,0,mixed,0.5,0.14546446130303245
regression,RH_lag3,raw_environment,5,7.146745715228537e-05,57.0,41.0,57.0,16.0,34.0,70.0,10,0,5,3,2,0,positive,0.6,0.3463072492088796
regression,RH_lag5,raw_environment,5,3.4625674347565345e-05,57.0,56.0,66.0,10.0,51.0,72.0,10,0,5,3,2,0,positive,0.6,0.09117560351687704
regression,DP_lag5,raw_environment,5,0.00015391526169731211,58.0,49.0,61.0,12.0,15.0,67.0,10,0,5,4,1,0,positive,0.8,0.18031688610336977
regression,maxT_lag3,raw_environment,5,8.739100230072662e-05,58.0,48.0,61.0,13.0,28.0,62.0,10,0,5,2,3,0,negative,0.6,-0.312509202290277
regression,Rain_cum7_lag1,cumulative_rainfall,5,6.382920260126845e-05,58.0,46.0,76.0,30.0,27.0,84.0,10,0,5,2,3,0,negative,0.6,-0.005772404463561807
regression,GWT_rate_lag5,environmental_rates,5,0.00013011433715922417,59.0,42.0,68.0,26.0,15.0,83.0,10,0,4,2,2,0,mixed,0.5,0.09722647221272207
regression,station_ATU1,station_identity,5,8.93873874925542e-05,59.0,37.0,60.0,23.0,36.0,78.0,10,0,0,0,0,0,not_applicable,,
regression,RH_lag4,raw_environment,5,4.156662201496589e-05,59.0,53.0,72.0,19.0,51.0,78.0,10,0,4,3,1,0,positive,0.75,0.32104877198468185
regression,station_ATU5,station_identity,5,2.8012616559625968e-05,62.0,54.0,81.0,27.0,47.0,83.0,10,0,0,0,0,0,not_applicable,,
