candidate,window,station,days,start,end,observed_mm_day,predicted_mm_day,background_mm_day,other_state_mm_day,fit_days
A_continued,train_last90,MJ3,90,2017-06-07,2017-09-05,1.0700756138620338,1.1490111222036423,0.3297934149971839,0.8192177072064573,432
A_continued,train_last90,MJ1,90,2017-06-07,2017-09-05,0.6327634129178124,0.75137342187143,0.3444251689712028,0.4069482529002272,432
A_continued,prediction_first30,ATU1,30,2017-09-05,2017-10-05,6.166904699768236,5.3088363687516456,0.3404222243466553,4.96841414440499,432
A_continued,prediction_first30,ATU5,30,2017-09-05,2017-10-05,5.398533944035078,7.622459731110558,0.3872130500472641,7.235246681063293,432
A_continued,prediction_first30,MJ3,30,2017-09-05,2017-10-05,0.9915604849144302,0.6635300756373756,0.3582118310495971,0.3053182445877794,432
A_continued,prediction_first30,MJ1,30,2017-09-05,2017-10-05,0.5238427348921353,0.5614809224422136,0.3742048435875077,0.1872760788547064,432
A_continued,prediction_first90,ATU1,90,2017-09-05,2017-12-04,2.165997685684675,1.842372714540676,0.2143745685749236,1.6279981459657524,432
A_continued,prediction_first90,ATU5,90,2017-09-05,2017-12-04,2.4595780218060246,2.795476346210919,0.2397973444271511,2.555679001783768,432
A_continued,prediction_first90,MJ3,90,2017-09-05,2017-12-04,0.4315855703304881,0.4760159319011437,0.3305869966972327,0.145428935203913,432
A_continued,prediction_first90,MJ1,90,2017-09-05,2017-12-04,0.2443584313417204,0.3972193831188191,0.345357767542316,0.0518616155765031,432
A_continued,prediction_all,ATU1,180,2017-09-05,2018-03-04,1.1439147187543448,0.9889231807501366,0.1740798127632848,0.814843367986852,432
A_continued,prediction_all,ATU5,180,2017-09-05,2018-03-04,1.320457305277271,1.4726000206485708,0.1934790301658951,1.2791209904826757,432
A_continued,prediction_all,MJ3,180,2017-09-05,2018-03-04,0.2921771204791437,0.4014831797127398,0.3194470794604224,0.0820361002523181,432
A_continued,prediction_all,MJ1,180,2017-09-05,2018-03-04,0.1851859238788291,0.364524098800159,0.3337165576116638,0.0308075411884954,432
B_continued,train_last30,ATU1,30,2017-08-06,2017-09-05,1.3496308508502968,1.4466486952046005,0.2647149245766234,1.1819337706279769,432
B_continued,train_last30,ATU5,30,2017-08-06,2017-09-05,1.6358779095725091,1.573048367853351,0.0938113838337699,1.4792369840195814,432
B_continued,train_last30,MJ3,30,2017-08-06,2017-09-05,1.0769814698892028,0.8360615308934333,0.3490282302213728,0.4870333006720609,432
B_continued,train_last30,MJ1,30,2017-08-06,2017-09-05,0.5728518285375533,0.6042106600944369,0.3699791956905827,0.2342314644038524,432
B_continued,train_last90,ATU1,90,2017-06-07,2017-09-05,1.1849162154353152,1.3497266436598931,0.2485270620635976,1.1011995815962956,432
B_continued,train_last90,ATU5,90,2017-06-07,2017-09-05,1.492247577995163,1.5485985391890782,0.0883210046229237,1.4602775345661545,432
B_continued,train_last90,MJ3,90,2017-06-07,2017-09-05,1.0700756138620338,1.1375505835788169,0.3369741038845869,0.800576479694228,432
B_continued,train_last90,MJ1,90,2017-06-07,2017-09-05,0.6327634129178124,0.7499086103407712,0.3576077727894969,0.3923008375512741,432
B_continued,prediction_first30,ATU1,30,2017-09-05,2017-10-05,6.166904699768236,4.322647912277243,0.3563442537054361,3.9663036585718063,432
B_continued,prediction_first30,ATU5,30,2017-09-05,2017-10-05,5.398533944035078,2.0621327727572862,0.1273785350369498,1.9347542377203364,432
B_continued,prediction_first30,MJ3,30,2017-09-05,2017-10-05,0.9915604849144302,0.6992541932455879,0.3821825538015559,0.3170716394440314,432
B_continued,prediction_first30,MJ1,30,2017-09-05,2017-10-05,0.5238427348921353,0.5565600707387262,0.4042208883205253,0.1523391824182006,432
B_continued,prediction_first90,ATU1,90,2017-09-05,2017-12-04,2.165997685684675,1.541664141939353,0.2199358808779305,1.3217282610614225,432
B_continued,prediction_first90,ATU5,90,2017-09-05,2017-12-04,2.4595780218060246,0.7213546924442925,0.0802132155994182,0.6411414768448742,432
B_continued,prediction_first90,MJ3,90,2017-09-05,2017-12-04,0.4315855703304881,0.5458427939103937,0.3283186558359955,0.217524138074398,432
B_continued,prediction_first90,MJ1,90,2017-09-05,2017-12-04,0.2443584313417204,0.4513549166099753,0.3481163995335306,0.103238517076445,432
B_continued,prediction_all,ATU1,180,2017-09-05,2018-03-04,1.1439147187543448,0.8403945909913925,0.1784861795836692,0.6619084114077232,432
B_continued,prediction_all,ATU5,180,2017-09-05,2018-03-04,1.320457305277271,0.4270980448312469,0.0664796100120878,0.3606184348191592,432
B_continued,prediction_all,MJ3,180,2017-09-05,2018-03-04,0.2921771204791437,0.4456225553307465,0.3073107352497843,0.1383118200809628,432
B_continued,prediction_all,MJ1,180,2017-09-05,2018-03-04,0.1851859238788291,0.3917927269736241,0.3260408761650009,0.065751850808623,432
A_baseline,train_last30,ATU1,30,2018-02-02,2018-03-04,0.0812790529529801,0.1345149402807502,0.1322075481336886,0.0023073921470616,612
A_baseline,train_last30,ATU5,30,2018-02-02,2018-03-04,0.1436549175029692,0.1913558185474566,0.1854532948001178,0.0059025237473387,612
A_baseline,train_last30,MJ3,30,2018-02-02,2018-03-04,0.1489793833633636,0.2573230659126087,0.2546992971809534,0.0026237687316533,612
A_baseline,train_last30,MJ1,30,2018-02-02,2018-03-04,0.1525834964413093,0.1608790761991789,0.1589617583148746,0.0019173178843066,612
A_baseline,train_last90,ATU1,90,2017-12-04,2018-03-04,0.1218317518240142,0.1259020018986114,0.124865142072045,0.0010368598265661,612
A_baseline,train_last90,ATU5,90,2017-12-04,2018-03-04,0.1813365887485177,0.2121969621368748,0.1841139877801566,0.0280829743567178,612
A_baseline,train_last90,MJ3,90,2017-12-04,2018-03-04,0.1527686706277993,0.2427186920425583,0.2439642565829065,-0.0012455645403488,612
A_baseline,train_last90,MJ1,90,2017-12-04,2018-03-04,0.1260134164159378,0.1527464248916569,0.1530946974579478,-0.0003482725662907,612
A_baseline,prediction_first30,ATU1,30,2018-03-04,2018-04-03,0.0968507320783146,0.2227221315095372,0.216500325893143,0.0062218056163942,612
A_baseline,prediction_first30,ATU5,30,2018-03-04,2018-04-03,0.1397960890381834,0.2435672454035492,0.2402470156742443,0.0033202297293068,612
A_baseline,prediction_first30,MJ3,30,2018-03-04,2018-04-03,-0.0059481800878984,0.4005841184247022,0.3978466901928963,0.0027374282318078,612
A_baseline,prediction_first30,MJ1,30,2018-03-04,2018-04-03,0.5738310163987194,0.24135411197974,0.237427081964339,0.003927030015401,612
A_baseline,prediction_first90,ATU1,90,2018-03-04,2018-06-02,0.2916803148515081,0.387171174388913,0.29838821639207,0.088782957996843,612
A_baseline,prediction_first90,ATU5,90,2018-03-04,2018-06-02,0.4812137341308742,0.3882799792973458,0.2659439605911031,0.1223360187062433,612
A_baseline,prediction_first90,MJ3,90,2018-03-04,2018-06-02,0.000145909830356,0.7702548112086738,0.5215675845941882,0.2486872266144866,612
A_baseline,prediction_first90,MJ1,90,2018-03-04,2018-06-02,0.56213774326891,0.8198692538808624,0.3052464568823156,0.5146227969985466,612
A_baseline,prediction_all,ATU1,180,2018-03-04,2018-08-31,0.2088918655024024,0.3246795375988149,0.3094921978752133,0.0151873397236016,612
A_baseline,prediction_all,ATU5,180,2018-03-04,2018-08-31,0.3841318552735399,0.9110257474997387,0.2714306425034175,0.6395951049963218,612
A_baseline,prediction_all,MJ3,180,2018-03-04,2018-08-31,0.0191414010140508,1.1804222171483794,0.5399010602727233,0.6405211568756561,612
A_baseline,prediction_all,MJ1,180,2018-03-04,2018-08-31,0.3766782808477621,0.9907084822121874,0.3152908728771521,0.6754176093350351,612
B_baseline,train_last30,ATU1,30,2018-02-02,2018-03-04,0.0812790529529801,0.0457109936513461,0.0416052017308075,0.0041057919205381,612
B_baseline,train_last30,ATU5,30,2018-02-02,2018-03-04,0.1436549175029692,0.2758748499177102,0.2737343743794199,0.0021404755382908,612
B_baseline,train_last30,MJ3,30,2018-02-02,2018-03-04,0.1489793833633636,0.197934081962785,0.1887351253265857,0.009198956636203,612
B_baseline,train_last30,MJ1,30,2018-02-02,2018-03-04,0.1525834964413093,0.1426029562184226,0.1353985621485643,0.0072043940698568,612
