horizon,substep,coordinate,mask,beta,x,gap,delta_plastic_mm,original_x_tolerance_allows,frozen_plastic_gate_pass
2,26,3,15,0.030303030303030297,0,200.28503061902023,0,True,True
2,27,0,15,0.0012848438919450848,0,1321.9368478378149,0,True,True
2,27,1,15,0.0020616428621014738,0,6.0063167308246879,0,True,True
2,27,2,15,0.00028605975644925379,0,734.28940690001207,0,True,True
2,27,3,15,0.030303030303030297,0,199.6149107113753,0,True,True
2,28,0,15,0.0012848438919450848,0,1321.999820810398,0,True,True
2,28,1,15,0.0020616428621014738,0,5.9166546142499667,0,True,True
2,28,2,15,0.00028605975644925379,0,734.2792800467995,0,True,True
2,28,3,15,0.030303030303030297,0,198.94482576290943,0,True,True
2,29,0,15,0.0012848438919450848,0,1322.0624334619631,0,True,True
2,29,1,15,0.0020616428621014738,0,5.8273211657180859,0,True,True
2,29,2,15,0.00028605975644925379,0,734.26915784303446,0,True,True
2,29,3,15,0.030303030303030297,0,198.27477592528678,0,True,True
2,30,0,15,0.0012848438919450848,0,1322.1246860870458,0,True,True
2,30,1,15,0.0020616428621014738,0,5.738316130785325,0,True,True
2,30,2,15,0.00028605975644925379,0,734.25904013940431,0,True,True
2,30,3,15,0.030303030303030297,0,197.60476134549853,0,True,True
2,31,0,15,0.0012848438919450848,0,1322.186578980238,0,True,True
2,31,1,15,0.0020616428621014738,0,5.6496392549112464,0,True,True
2,31,2,15,0.00028605975644925379,0,734.24892679112497,0,True,True
2,31,3,15,0.030303030303030297,0,196.93478216600838,0,True,True
2,32,0,15,0.0012848438919450848,0,1322.2481124361939,0,True,True
2,32,1,15,0.0020616428621014738,0,5.5612902834566036,0,True,True
2,32,2,15,0.00028605975644925379,0,734.23881765780334,0,True,True
2,32,3,15,0.030303030303030297,0,196.26483852488559,0,True,True
2,33,0,15,0.0012848438919450848,0,1322.3092867496243,0,True,True
2,33,1,15,0.0020616428621014738,0,5.4732689616884302,0,True,True
2,33,2,15,0.00028605975644925379,0,734.2287126033043,0,True,True
2,33,3,15,0.030303030303030297,0,195.59493055594223,0,True,True
2,34,0,15,0.0012848438919450848,0,1322.3701022152902,0,True,True
2,34,1,15,0.0020616428621014738,0,5.3855750347848002,0,True,True
2,34,2,15,0.00028605975644925379,0,734.21861149562244,0,True,True
2,34,3,15,0.030303030303030297,0,194.92505838886026,0,True,True
2,35,0,15,0.0012848438919450848,0,1322.4305591280172,0,True,True
