origin,method,seed,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
792,TiDE_HYD,1,ATU5,293,34.833249769515803,41.309135696998418,24.183848916172973,0.96245733788395904,139.30010476656935,139.97774620880949,1,178.78974886402077,178.78974886402077,1,213.04112587081886,213.04112587081886
792,TiDE_HYD,1,MJ3,293,3.5396732945452589,4.440566303897989,2.6450420542210682,0.55631399317406138,6.6116312066728824,18.482692129116124,0.65870307167235498,8.4859367837766513,25.01398578873226,0.7337883959044369,10.111617349266453,33.306494176160996
792,TiDE_HYD,1,MJ1,293,14.036439801800773,15.693581479016666,15.367233562321699,1,150.34274494090579,150.34274494090579,1,192.96282408800403,192.96282408800403,1,229.92938664613709,229.92938664613709
792,TiDE_HYD,2,ATU1,293,48.837192801507591,61.568393131237492,38.025500568885292,0.53583617747440271,79.804197529408441,288.34171756289885,0.59726962457337884,102.42757863310567,422.00256163860826,0.62457337883959041,122.04998782572784,607.17218710337613
792,TiDE_HYD,2,ATU5,293,70.687688062573358,86.159723482613188,52.332974798996048,0.56313993174061439,139.30010476656935,365.91208314023703,0.61433447098976113,178.78974886402077,471.07572796970055,0.67576791808873715,213.04112587081886,554.47231746326543
792,TiDE_HYD,2,MJ3,293,28.046085842804533,36.149184064783142,26.735103676550029,0.12627986348122866,6.6116312066728824,256.41434915797186,0.16040955631399317,8.4859367837766513,491.87532970462138,0.19112627986348124,10.111617349266453,950.04996710929743
792,TiDE_HYD,2,MJ1,293,21.249828388664401,24.587944674230201,17.71312453630626,1,150.34274494090576,150.34274494090576,1,192.96282408800403,192.96282408800403,1,229.92938664613709,229.92938664613709
792,TiDE_PHYS,0,ATU1,293,6.1969084117065156,8.3531369851490211,8.1446234040864276,1,79.715421337367374,79.715421337367374,1,102.3136356241846,102.3136356241846,1,121.91421635639085,121.91421635639085
792,TiDE_PHYS,0,ATU5,293,4.8301886540063848,7.1789973880665343,12.671092959991874,1,134.71600125160262,134.71600125160262,1,172.90611569963085,172.90611569963085,1,206.03034453958162,206.03034453958162
792,TiDE_PHYS,0,MJ3,293,20.798266740680784,24.305043252273467,17.964618065542929,0.13993174061433447,14.304120447116018,155.6822463222226,0.19795221843003413,18.359139835150472,267.50614874934143,0.23549488054607509,21.876264413095214,464.96742756055471
792,TiDE_PHYS,0,MJ1,293,2.9917233834982961,3.6014932791665339,14.127632858347937,1,154.00413596410223,154.00413596410223,1,197.66216859048842,197.66216859048842,1,235.52900099777173,235.52900099777173
792,TiDE_PHYS,1,ATU1,293,30.89608689188972,32.399442352192068,19.45515072591078,0.91467576791808869,79.715421337367403,81.098017881629545,1,102.31363562418458,102.31363562418458,1,121.91421635639085,121.91421635639085
792,TiDE_PHYS,1,ATU5,293,33.786768932043735,35.56640801823054,21.461025365377555,1,134.71600125160262,134.71600125160262,1,172.90611569963085,172.90611569963085,1,206.03034453958162,206.03034453958162
792,TiDE_PHYS,1,MJ3,293,9.0372171640380863,11.381514978154987,7.0579135434409643,0.53242320819112632,14.304120447116018,53.476802912775938,0.58020477815699656,18.359139835150472,78.870033676292493,0.62116040955631402,21.876264413095214,114.95873893654736
792,TiDE_PHYS,1,MJ1,293,10.669635465717869,11.682240596398259,14.943327611392077,1,154.00413596410226,154.00413596410226,1,197.66216859048842,197.66216859048842,1,235.52900099777173,235.52900099777173
792,TiDE_PHYS,2,ATU1,293,32.120496846893573,33.257359862039081,20.042529037438161,0.84982935153583616,79.715421337367403,85.219253161400985,0.9965870307167235,102.31363562418458,102.55063819410749,1,121.91421635639085,121.91421635639085
792,TiDE_PHYS,2,ATU5,293,24.359676040670287,25.719718141271052,17.17448540675597,1,134.71600125160262,134.71600125160262,1,172.90611569963085,172.90611569963085,1,206.03034453958162,206.03034453958162
792,TiDE_PHYS,2,MJ3,293,9.2360137594579523,11.271513422770211,6.9787024261023678,0.45733788395904434,14.304120447116018,49.636389534191217,0.62116040955631402,18.359139835150472,70.333602175133194,0.69283276450511944,21.876264413095214,101.15312199247018
792,TiDE_PHYS,2,MJ1,293,16.737548133658326,20.602260111340197,16.795071552006213,1,154.00413596410226,154.00413596410226,1,197.66216859048842,197.66216859048842,1,235.52900099777173,235.52900099777173
792,TiDE_SPLIT,0,ATU1,293,52.493658891231519,56.296242057432565,39.402331026660264,0.11945392491467577,66.313609310427751,275.91351897894714,0.31058020477815701,85.112596108567516,356.93092551827584,0.5460750853242321,101.41791358825753,474.48010382769638
792,TiDE_SPLIT,0,ATU5,293,74.529414044860999,84.305218480598413,53.072990981480565,0.51194539249146753,133.11104282880578,344.07023290414634,0.61092150170648463,170.84617386520154,428.03690417538161,0.68600682593856654,203.57577244904746,486.9831572755399
792,TiDE_SPLIT,0,MJ3,293,5.7712819235374306,7.2826435884129461,4.540339578517461,0.41979522184300339,9.0619637775998854,33.907749403732659,0.57337883959044367,11.630904590681894,48.340352618705225,0.66211604095563137,13.85907762966599,70.479931214690751
792,TiDE_SPLIT,0,MJ1,293,19.218975422084934,23.61646400018822,17.025910009828909,1,144.85820844810362,144.85820844810362,1,185.92349770826553,185.92349770826553,1,221.5415119114831,221.5415119114831
792,TiDE_SPLIT,1,ATU1,293,33.444493731194846,39.387029172491914,24.063185069791267,0.52901023890784982,66.313609310427751,160.70770043990996,0.61774744027303752,85.11259610856753,191.66859480677255,0.73720136518771329,101.41791358825753,206.95313272456926
792,TiDE_SPLIT,1,ATU5,293,57.430930378332391,67.744226156528853,40.382325493709786,0.56313993174061439,133.11104282880581,250.2779068720412,0.7303754266211604,170.84617386520154,269.77990468130679,0.85324232081911267,203.57577244904746,269.79048137492373
792,TiDE_SPLIT,1,MJ3,293,4.30969710838834,5.6862263542130993,3.2635472369996452,0.62457337883959041,9.0619637775998854,23.425373115555651,0.69283276450511944,11.630904590681894,31.623432139104128,0.76109215017064846,13.85907762966599,41.913482950551909
792,TiDE_SPLIT,1,MJ1,293,17.814361034617018,20.083585809471266,16.008005379907097,1,144.85820844810362,144.85820844810362,1,185.92349770826553,185.92349770826553,1,221.54151191148313,221.54151191148313
