feature_set,horizon_days,split,evaluation_role,estimator,subset,reliability_kind,class_level,class_color,bin_index,bin_lower,bin_upper,count,mean_predicted_probability,observed_frequency,class_support,calibration_status
full,1,test,historical_holdout_evaluation_only,ngboost,all,top_label,,,1,0.1,0.2,0,,,2288,empty_bin
full,1,test,historical_holdout_evaluation_only,ngboost,all,top_label,,,2,0.2,0.30000000000000004,0,,,2288,empty_bin
full,1,test,historical_holdout_evaluation_only,ngboost,all,top_label,,,3,0.30000000000000004,0.4,0,,,2288,empty_bin
full,1,test,historical_holdout_evaluation_only,ngboost,all,top_label,,,4,0.4,0.5,4,0.4939226792330401,0.75,2288,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,top_label,,,5,0.5,0.6000000000000001,61,0.5544603628642498,0.4918032786885246,2288,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,top_label,,,6,0.6000000000000001,0.7000000000000001,71,0.6481279721512422,0.6338028169014085,2288,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,top_label,,,7,0.7000000000000001,0.8,128,0.7351738360819328,0.75,2288,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,top_label,,,8,0.8,0.9,253,0.8718008327034019,0.9169960474308301,2288,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,top_label,,,9,0.9,1.0,1771,0.9785019102160392,0.9943534726143421,2288,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,0.0,green,0,0.0,0.1,1601,0.012729027121676555,0.0024984384759525295,584,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,0.0,green,1,0.1,0.2,42,0.1536626943205225,0.14285714285714285,584,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,0.0,green,2,0.2,0.30000000000000004,26,0.22935364633177013,0.07692307692307693,584,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,0.0,green,3,0.30000000000000004,0.4,13,0.34138387436325346,0.6923076923076923,584,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,0.0,green,4,0.4,0.5,20,0.44261139514112935,0.6,584,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,0.0,green,5,0.5,0.6000000000000001,29,0.5634973941744749,0.5172413793103449,584,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,0.0,green,6,0.6000000000000001,0.7000000000000001,21,0.6631547787416862,0.5714285714285714,584,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,0.0,green,7,0.7000000000000001,0.8,15,0.7333389754661909,0.8,584,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,0.0,green,8,0.8,0.9,58,0.866766449357877,0.896551724137931,584,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,0.0,green,9,0.9,1.0,463,0.983655298310128,0.9935205183585313,584,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,1.0,blue,0,0.0,0.1,1077,0.01668431356359212,0.004642525533890436,1039,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,1.0,blue,1,0.1,0.2,78,0.13356009708709463,0.07692307692307693,1039,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,1.0,blue,2,0.2,0.30000000000000004,24,0.2707899071385703,0.125,1039,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,1.0,blue,3,0.30000000000000004,0.4,37,0.3477176283309356,0.32432432432432434,1039,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,1.0,blue,4,0.4,0.5,31,0.4389810992541119,0.45161290322580644,1039,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,1.0,blue,5,0.5,0.6000000000000001,29,0.5494915360225894,0.4482758620689655,1039,ok
