model,horizon,n_per_point,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,mae,rmse,pooled_rmse
DRIFT3,19,358,0.372418175052,0.761173184358,1.66493687103,2.7627609058,0.832402234637,2.13692333932,3.74311624202,0.862430167598,2.54630121135,5.04622730424,0.472003429713,0.622030087944,0.633043729583
DRIFT3,20,357,0.407764776784,0.764005602241,1.82630337555,3.03751343958,0.832633053221,2.34403500565,4.12748667734,0.859943977591,2.79308998339,5.57973574872,0.515468960042,0.679737113893,0.69167627338
DRIFT3,21,356,0.444437104638,0.764747191011,1.99419551524,3.32412947203,0.830056179775,2.55952223406,4.5290367628,0.858848314607,3.0498588532,6.1365293207,0.560460257131,0.73937348706,0.752246572001
DRIFT3,22,355,0.482411344319,0.766901408451,2.16845686661,3.62271968076,0.828873239437,2.78318425713,4.94714638063,0.855633802817,3.31636859167,6.71660006295,0.606652264798,0.8008477119,0.814658482025
DRIFT3,23,354,0.521662983739,0.764124293785,2.34892268073,3.93190035828,0.827683615819,3.01480962194,5.3811424248,0.853107344633,3.59236723708,7.32082427607,0.654118669208,0.864067309811,0.878814793065
DRIFT3,24,353,0.562165681055,0.763456090652,2.53542442596,4.251446516,0.826487252125,3.25418202048,5.83120432259,0.850566572238,3.87759704254,7.94677780774,0.702800076171,0.928939088251,0.944617519936
DRIFT3,25,352,0.603890274178,0.762784090909,2.72779351467,4.5812747875,0.825284090909,3.50108507282,6.29624411182,0.849431818182,4.17180017547,8.59591254,0.752449242849,0.995369430024,1.01196821675
DRIFT3,26,351,0.646803545259,0.764245014245,2.92586394328,4.92102413006,0.821225071225,3.75530571572,6.77632043867,0.846866096866,4.47472275535,9.26789651075,0.803217286464,1.06326460456,1.08076831492
DRIFT3,27,350,0.690866835805,0.764285714286,3.12947523018,5.27103054813,0.821428571429,4.01663797323,7.27145910933,0.845,4.78611934672,9.96071273488,0.8549097741,1.13253110308,1.15091948705
DRIFT3,28,349,0.73603502392,0.76217765043,3.3384758512,5.63072041913,0.820200573066,4.2848873662,7.7813418955,0.841690544413,5.10575821335,10.6734205373,0.907389687669,1.20307599814,1.22232403747
DRIFT3,29,348,0.782256717924,0.75933908046,3.55272866967,6.00119910147,0.818247126437,4.55987788162,8.31013147476,0.841235632184,5.43342962282,11.4093260868,0.960676189855,1.27480732462,1.29488531637
DRIFT3,30,347,0.829476569972,0.757925072046,3.77212316256,6.37979495363,0.815561959654,4.84146766472,8.85818697313,0.837175792507,5.76896454473,12.1672419846,1.0148201407,1.34763447301,1.36850814816
DRIFT30,1,376,0.0245045166708,0.764627659574,0.111099317699,0.167515746493,0.840425531915,0.142594430518,0.208682791265,0.886968085106,0.169911743897,0.250693128474,0.0325870215597,0.0430021119228,0.0435402830274
