arm,reference,part,station,metric,reference_value,candidate_value,difference,relative_difference
TIME_ONLY,BPLUS_GP_V1,train,MJ1,interval_score_80_mm,0.026620546296931384,0.026541954459702085,-7.859183722929916e-05,-0.00295229993977842
TIME_ONLY,BPLUS_GP_V1,train,MJ1,coverage_90,0.9986876640419947,0.9986876640419947,0.0,0.0
TIME_ONLY,BPLUS_GP_V1,train,MJ1,width_90_mm,0.0338426926144114,0.033709041190121004,-0.000133651424290393,-0.003949195940558216
TIME_ONLY,BPLUS_GP_V1,train,MJ1,interval_score_90_mm,0.03424064988609919,0.03409021876818071,-0.00015043111791848002,-0.004393348795039989
TIME_ONLY,BPLUS_GP_V1,train,MJ1,coverage_95,0.9986876640419947,0.9986876640419947,0.0,0.0
TIME_ONLY,BPLUS_GP_V1,train,MJ1,width_95_mm,0.04032605545932748,0.04016679993578017,-0.0001592555235473067,-0.003949196660405591
TIME_ONLY,BPLUS_GP_V1,train,MJ1,interval_score_95_mm,0.04095165226833841,0.04075970454180915,-0.00019194772652926517,-0.0046871790488822035
TIME_ONLY,BPLUS_GP_V1,prediction,ATU1,mae_mm,35.75631153140056,35.96055574775981,0.20424421635924972,0.0057121164799083385
TIME_ONLY,BPLUS_GP_V1,prediction,ATU1,rmse_mm,40.27921555147938,40.327054896045084,0.047839344565701936,0.0011876930548600242
TIME_ONLY,BPLUS_GP_V1,prediction,ATU1,crps_mm,23.392186995386734,28.66637777667331,5.274190781286578,0.2254680497521126
TIME_ONLY,BPLUS_GP_V1,prediction,ATU1,coverage_80,0.7207446808510638,0.21010638297872342,-0.5106382978723404,-0.7084870848708487
TIME_ONLY,BPLUS_GP_V1,prediction,ATU1,width_80_mm,89.78998555039779,39.17426126192709,-50.615724288470695,-0.5637123558735939
TIME_ONLY,BPLUS_GP_V1,prediction,ATU1,interval_score_80_mm,117.29317094354477,226.4889994295479,109.19582848600314,0.930964928372181
TIME_ONLY,BPLUS_GP_V1,prediction,ATU1,coverage_90,0.9148936170212766,0.2154255319148936,-0.699468085106383,-0.7645348837209303
TIME_ONLY,BPLUS_GP_V1,prediction,ATU1,width_90_mm,115.24419925531465,50.27962071239515,-64.9645785429195,-0.5637123513609172
TIME_ONLY,BPLUS_GP_V1,prediction,ATU1,interval_score_90_mm,121.05793055856435,335.57621469593147,214.51828413736712,1.7720299954540304
TIME_ONLY,BPLUS_GP_V1,prediction,ATU1,coverage_95,1.0,0.2553191489361702,-0.7446808510638299,-0.7446808510638299
TIME_ONLY,BPLUS_GP_V1,prediction,ATU1,width_95_mm,137.3219330827695,59.91186324762437,-77.41006983514514,-0.5637123516786422
TIME_ONLY,BPLUS_GP_V1,prediction,ATU1,interval_score_95_mm,137.3219330827695,477.2960217437426,339.97408866097305,2.4757449959290687
TIME_ONLY,BPLUS_GP_V1,prediction,ATU5,mae_mm,43.483366904473655,43.52186413322823,0.03849722875457218,0.0008853322889909775
TIME_ONLY,BPLUS_GP_V1,prediction,ATU5,rmse_mm,48.506861451440464,48.51432990093615,0.007468449495682705,0.00015396686720618412
TIME_ONLY,BPLUS_GP_V1,prediction,ATU5,crps_mm,30.398452552396183,31.794742638748847,1.3962900863526642,0.045932933064469446
TIME_ONLY,BPLUS_GP_V1,prediction,ATU5,coverage_80,0.3324468085106383,0.22074468085106383,-0.11170212765957446,-0.33599999999999997
TIME_ONLY,BPLUS_GP_V1,prediction,ATU5,width_80_mm,79.86230466662992,68.42110611370127,-11.441198552928654,-0.14326156251923572
TIME_ONLY,BPLUS_GP_V1,prediction,ATU5,interval_score_80_mm,174.84541087879197,210.4317890224249,35.58637814363294,0.20353052427725699
TIME_ONLY,BPLUS_GP_V1,prediction,ATU5,coverage_90,0.574468085106383,0.4228723404255319,-0.15159574468085113,-0.263888888888889
TIME_ONLY,BPLUS_GP_V1,prediction,ATU5,width_90_mm,102.50215873822434,87.81754022411916,-14.684618514105182,-0.14326155365768997
TIME_ONLY,BPLUS_GP_V1,prediction,ATU5,interval_score_90_mm,165.44978631668891,231.82610665053474,66.37632033384583,0.4011871022111465
