artifact_status,formal_warning_output,vajont_used,decision_input_split,fold,method,scope,station,block,n,p50_bias_actual_minus_prediction_mean_mm,p50_bias_actual_minus_prediction_median_mm,p50_mae_mm,coverage_80,coverage_abs_error_to_0_8,normal_implied_coverage_80,width_mean_mm,interval_score_mean_mm,pinball_p10_mean_mm,pinball_p50_mean_mm,pinball_p90_mean_mm,pinball_three_quantile_mean_mm,z_median,green_rate,blue_rate,yellow_rate,orange_rate,red_rate
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_only,station_macro,all,all,272,0.001430120481,-0.01359042457,0.0754372286,0.8455882353,0.2544117647,0.8639705882,0.4394981378,0.5698924144,0.0319311077,0.0377186143,0.02505813374,0.03156928525,-0.2892747,0.5441176471,0.4558823529,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_scale,overall_micro,all,all,272,0.001430120481,-0.01167116254,0.0754372286,0.4007352941,0.3992647059,0.4154411765,0.09077762949,0.5083184795,0.02435807042,0.0377186143,0.02647377753,0.02951682075,-0.3429314441,0.5441176471,0.1176470588,0.04411764706,0.08823529412,0.2058823529
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_scale,station,MJ9,O1,34,-0.03084359163,-0.02540182586,0.03508202419,0.5882352941,0.2117647059,0.6470588235,0.08865870767,0.2047570596,0.01168931808,0.01754101209,0.008786387879,0.01267223935,-0.7708512485,0.8823529412,0.1176470588,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_scale,station,MJ1,O1,34,-0.1620264399,-0.1753255943,0.1620264399,0.02941176471,0.7705882353,0.05882352941,0.1029007453,1.406448717,0.1173797734,0.08101321994,0.02326509837,0.07388603056,-4.354638822,1,0,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_scale,station,MJ3,O1,34,-0.03144330563,-0.02153081165,0.03144330563,0.5588235294,0.2411764706,0.6176470588,0.06421831667,0.1737876629,0.01033987123,0.01572165281,0.007038895062,0.01103347304,-0.9054414563,1,0,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_scale,station,ATU4,O2,34,0.06345784898,0.05083269451,0.06345784898,0.02941176471,0.7705882353,0,0.05022556323,0.3991390038,0.008506856484,0.03172892449,0.0314070439,0.02388094162,2.734027353,0,0,0.08823529412,0.5294117647,0.3823529412
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_scale,station,ATU5,O2,34,0.1203065465,0.1048294236,0.1203065465,0,0.8,0,0.06134415328,0.9003110448,0.01452408424,0.06015327325,0.07550702024,0.05006145924,4.711686044,0,0,0,0,1
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_scale,station,ATU3,O2,34,-0.02273422226,-0.04792456024,0.07866477421,0.5,0.3,0.5294117647,0.1446722256,0.4059421304,0.01503964257,0.03933238711,0.02555457047,0.02664220005,-0.9240794258,0.8529411765,0.02941176471,0.02941176471,0.02941176471,0.05882352941
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_scale,station,ATU2,O3,34,0.0517322073,0.02996657271,0.0517322073,0.8235294118,0.02352941176,0.7941176471,0.1025249468,0.2629393306,0.009660893747,0.02586610365,0.01663303931,0.0173866789,0.8062122461,0,0.7352941176,0.1176470588,0.05882352941,0.08823529412
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_scale,station,ATU1,O3,34,0.02299192046,-0.02416929529,0.06078468215,0.6764705882,0.1235294118,0.6764705882,0.1116763772,0.3132228862,0.007724123618,0.03039234107,0.02359816501,0.02057154323,-0.6002979688,0.6176470588,0.05882352941,0.1176470588,0.08823529412,0.1176470588
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_scale,station_macro,all,all,272,0.001430120481,-0.01359042457,0.0754372286,0.4007352941,0.4051470588,0.4154411765,0.09077762949,0.5083184795,0.02435807042,0.0377186143,0.02647377753,0.02951682075,0.08707709019,0.5441176471,0.1176470588,0.04411764706,0.08823529412,0.2058823529
calibration_only_expert_review_not_formal,False,False,calibration,2,raw,overall_micro,all,all,272,0.05006404916,0.03976771967,0.09488304676,0.8933823529,0.09338235294,0.8676470588,0.5486714172,0.5981593059,0.02766650928,0.04744152338,0.03214942131,0.03575248466,0.2905174202,0.3014705882,0.5073529412,0.1139705882,0.03308823529,0.04411764706
calibration_only_expert_review_not_formal,False,False,calibration,2,raw,station,MJ9,O1,34,0.07681660453,0.07349253901,0.07681660453,0.4411764706,0.3588235294,0.3823529412,0.09500509864,0.3935741714,0.01177552654,0.03840830226,0.02758189061,0.02592190647,1.994665687,0,0.1764705882,0.3235294118,0.1470588235,0.3529411765
calibration_only_expert_review_not_formal,False,False,calibration,2,raw,station,MJ1,O1,34,0.07243933039,0.03189173417,0.07369982637,0.7058823529,0.09411764706,0.6470588235,0.2324393622,0.3297733988,0.01610939411,0.03684991319,0.01686794576,0.02327575102,0.3672719819,0.05882352941,0.5882352941,0.2352941176,0.1176470588,0
