phase,scenario,model,probability_model,horizon,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
development,past_only_main,DRIFT1,DRIFT1_G,4,MJ1,373,0.0235345295558821,0.0336476280762509,0.0186242171465876,0.780160857908847,0.082049782883846,0.138734358775058,0.823056300268097,0.105309756232648,0.189914631386744,0.849865951742627,0.125484314260366,0.254433503285666
development,past_only_main,DRIFT1,DRIFT1_G,5,ATU1,372,0.0485494833673231,0.061753612976733,0.0349735248610173,0.75,0.154138276940547,0.227714155748003,0.876344086021505,0.197834336669838,0.274827143879938,0.919354838709677,0.235734151917761,0.326216653559032
development,past_only_main,DRIFT1,DRIFT1_G,5,ATU5,372,0.0342637326356595,0.0431952227696567,0.0265688574910549,0.790322580645161,0.136349028947908,0.186924757046147,0.870967741935484,0.175002084056582,0.236508387711784,0.905913978494624,0.208527844879461,0.288084180136537
development,past_only_main,DRIFT1,DRIFT1_G,5,MJ3,372,0.028000466971902,0.0365442537882337,0.0207873530637828,0.768817204301075,0.0910476197335559,0.144670190743814,0.830645161290323,0.116858354802432,0.180572094195664,0.887096774193548,0.139245318217087,0.217692652543155
development,past_only_main,DRIFT1,DRIFT1_G,5,MJ1,372,0.0352130967401985,0.0503449884266155,0.0279823717755244,0.776881720430108,0.122782627119886,0.210349035791086,0.82258064516129,0.15758979581828,0.290602915307903,0.844086021505376,0.187779823732586,0.39431492411272
development,past_only_main,DRIFT1,DRIFT1_G,6,ATU1,371,0.067841000716126,0.0862633823998206,0.0489634080463256,0.746630727762803,0.215364225519969,0.31981482071673,0.876010781671159,0.276416990924261,0.388811994882667,0.91644204851752,0.329371159870671,0.464264247064312
development,past_only_main,DRIFT1,DRIFT1_G,6,ATU5,371,0.0478498244545067,0.0603627932967783,0.037394687325242,0.784366576819407,0.192879299406328,0.265272529869492,0.873315363881402,0.247557900690116,0.337623608856106,0.908355795148248,0.294983432866446,0.414882207108734
development,past_only_main,DRIFT1,DRIFT1_G,6,MJ3,371,0.039111628947132,0.051013182932013,0.0291382116621308,0.765498652291105,0.126607739501907,0.204010654243782,0.824797843665768,0.162499274409875,0.255882636415485,0.881401617250674,0.193629828295146,0.308656534340701
development,past_only_main,DRIFT1,DRIFT1_G,6,MJ1,371,0.049162121983678,0.070282927612035,0.0392408173780721,0.778975741239892,0.171498178550337,0.297492006881466,0.822102425876011,0.220115529166567,0.41445758908678,0.84366576819407,0.262283830327214,0.56926343964782
development,past_only_main,DRIFT1,DRIFT1_G,7,ATU1,370,0.0902610558708387,0.114709513299978,0.0652602759075498,0.748648648648649,0.286447290994938,0.427493786194289,0.872972972972973,0.367651117747442,0.52306068201616,0.910810810810811,0.438083327205468,0.627234595132174
development,past_only_main,DRIFT1,DRIFT1_G,7,ATU5,370,0.0636226244911289,0.0803054583837384,0.0500889009045514,0.786486486486486,0.259802966562152,0.358106761382726,0.87027027027027,0.333453497566369,0.458149505292268,0.908108108108108,0.397334349415806,0.567119950551612
development,past_only_main,DRIFT1,DRIFT1_G,7,MJ3,370,0.0520066714375604,0.0678005255212846,0.0388818868853745,0.762162162162162,0.167638409715652,0.273837181156191,0.816216216216216,0.215161569499548,0.345075509748155,0.87027027027027,0.256380823294156,0.416087239339263
development,past_only_main,DRIFT1,DRIFT1_G,7,MJ1,370,0.0653684807009132,0.093414539051476,0.0524073949588981,0.775675675675676,0.228143472886322,0.400571787332856,0.818918918918919,0.292818977348682,0.562553175207253,0.843243243243243,0.348915332154482,0.780457200359155
development,past_only_main,B_RAW,B_RAW_G,1,ATU1,376,35.9774139402056,40.3437134844976,22.7909928957317,0.664893617021277,75.5837084931817,93.4591115130136,0.784574468085106,97.0106395996798,115.176025700093,0.86436170212766,115.59530685108,136.820284097697
development,past_only_main,B_RAW,B_RAW_G,1,ATU5,376,43.5652057742776,48.5342277013169,27.4805802831014,0.686170212765957,95.151989426603,117.530866866906,0.827127659574468,122.126256272401,145.018522328722,0.906914893617021,145.522409981393,173.693440015189
development,past_only_main,B_RAW,B_RAW_G,1,MJ3,376,20.5213643219294,36.375753387724,17.702767350638,0.502659574468085,69.8726577525597,120.428252184159,0.648936170212766,89.680585330327,139.281862599438,0.752659574468085,106.861008468991,161.323535213835
