phase,source_family,model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse,comparison_status
development,c16_fast_feedback_run3,DRIFT1,5,372,0.0365066949288,0.0479595194903,0.0569405167161,0.950940860215,0.543816939717,0.56056977067,0.967741935484,0.697981485678,0.717379324153,0.976478494624,0.831696238126,0.853900327769,0.0488606087007,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT1,6,371,0.0509911440254,0.0669805715602,0.080175215276,0.951482479784,0.766366106763,0.790670714625,0.966981132075,0.983620249214,1.01272588844,0.975741239892,1.17205581782,1.20695584633,0.0682405171145,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT1,7,370,0.0678147081251,0.0890575090641,0.107445374995,0.949324324324,1.02781157759,1.06122895415,0.966216216216,1.31918187818,1.35991472604,0.975675675676,1.57190216073,1.62192189644,0.0907337126636,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT14,1,376,0.0178719318958,0.0233872433271,0.0266089885078,0.947473404255,0.252192052235,0.259153628049,0.970744680851,0.323684994783,0.330233056962,0.981382978723,0.385694460417,0.391409891331,0.0237772904398,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT14,2,375,0.0380115210778,0.0497470928867,0.0570447024929,0.949333333333,0.541291365587,0.556649647303,0.97,0.694739946375,0.710165854978,0.980666666667,0.827833705811,0.842693440294,0.0505751132277,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT14,3,374,0.060356663775,0.0790193081498,0.0913296616394,0.94986631016,0.867692115478,0.893103128707,0.969251336898,1.11367077345,1.14041529049,0.979946524064,1.32702057547,1.35443064332,0.0803312953839,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT14,4,373,0.084858195436,0.111138231743,0.129508425385,0.949061662198,1.23286361455,1.26909486059,0.967158176944,1.58236331838,1.6212452599,0.979222520107,1.88550218917,1.92578237744,0.112978011998,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT14,5,372,0.111471211498,0.146033660691,0.171464118892,0.949596774194,1.63322828358,1.68323801694,0.967069892473,2.09622580793,2.15215714706,0.978494623656,2.49780711164,2.55986056373,0.148442665148,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT14,6,371,0.140092666342,0.183631455814,0.21731287232,0.948787061995,2.07164259749,2.13740369254,0.966307277628,2.65892448798,2.73529891872,0.977762803235,3.16830394429,3.2571613767,0.186648502705,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT14,7,370,0.170693186056,0.223854156626,0.266976962017,0.947297297297,2.5489832423,2.63024938885,0.964864864865,3.27158457284,3.3664452981,0.977027027027,3.89833346267,4.00916243914,0.227515241182,historical_native_scale_not_main_ranking
