origin,seed,step,bin,mae,rmse,bias,mse,error_variance
972,1,100,h181_293,9.541871317759187,9.930905788865307,-9.17945108972766,150.7937514979836,6.835531337858941
972,1,100,all,6.14921037082368,7.5043973268663215,-5.504899874090071,77.45347013312437,29.14557392449337
972,1,200,h001_030,2.598608445141953,2.9183667481678537,-2.5219265471112524,8.782121352281113,2.0933113063828097
972,1,200,h031_090,4.281922119571183,4.719318589012828,-4.063244289210124,27.373045726905346,5.032734412363919
972,1,200,h091_180,10.827352650242748,11.453886763408054,-10.81412499862062,150.43749225716743,13.613093033751275
972,1,200,h181_293,18.778332564996223,19.024337047872265,-18.778332564996223,419.6447395427779,8.798338880048105
972,1,200,all,11.710876788037373,13.760424966019851,-11.654181854902301,214.55657425140524,61.14023926169521
972,1,400,h001_030,2.3976386916687664,2.799807049962167,-2.2353913565713435,8.311723941248761,2.8091654282387206
972,1,400,h031_090,4.136128102961073,4.477671705815003,-4.022513508177983,24.71473845144149,3.205076266482759
972,1,400,h091_180,9.100132341500707,9.671197834769941,-9.088290171512623,108.50155949036889,10.46595452017595
972,1,400,h181_293,17.445959975678214,17.639590107197602,-17.445959975678214,361.55680601672015,6.491978154449095
972,1,400,all,10.616048583325698,12.51483815424022,-10.572532914251173,178.68018928104615,51.53855270296573
972,2,0,h001_030,1.9115457589312235,2.199106066122643,-1.9115457589312235,5.396124774602628,1.2610082389332509
972,2,0,h031_090,7.860858544648921,8.258508452049028,-7.860858544648921,76.80783319244681,7.515876305487302
972,2,0,h091_180,19.838286266573704,20.193712661305135,-19.838286266573704,444.72942975940174,14.181789782038956
972,2,0,h181_293,28.98172195696168,29.05363264914656,-28.98172195696168,909.8684137935446,4.2810736925011925
972,2,0,all,19.076376213567148,21.646670846974693,-19.076376213567148,503.79226338498836,112.63780316913669
972,2,50,h001_030,3.703236115589714,4.15146620775466,3.6829276283381027,20.07412835840231,4.063169838495513
