origin,seed,step,bin,mae,rmse,bias,normalized_mse,objective_contribution
612,1,50,h091_180,12.808357772016198,16.67734391967231,3.6023614440314873,0.01814419142257171,0.002523596169843551
612,1,50,h181_293,,,,,0.0
612,1,50,all,8.027172093537766,11.842056784880668,1.9700597016130226,0.008931936753285734,0.005252804536091362
612,1,100,h001_030,3.1111025487130104,5.668303928684919,0.6968146637675309,0.0020541468688018683,0.0003730924806711499
612,1,100,h031_090,3.413113906587892,4.507295675020664,2.2295973990595805,0.001228124376940783,0.0003682691750425253
612,1,100,h091_180,5.105277207368458,6.627801706277701,2.7960980466288308,0.002856276771404645,0.0004112747330386376
612,1,100,h181_293,,,,,0.0
612,1,100,all,3.746442471649134,5.598774613882804,1.9048309086403694,0.001889173224541753,0.0011526363887523127
612,1,200,h001_030,3.9289613245063584,4.95423879375987,3.5730955602214904,0.0014865898905237359,0.00033742412594773045
612,1,200,h031_090,4.426635337930844,5.336072235538602,4.246408239388203,0.001705112326327921,0.0005171523113276353
612,1,200,h091_180,3.181301820109072,4.37518234375802,1.4255971237518543,0.0012721474302860524,0.00017730309480680322
612,1,200,h181_293,,,,,0.0
612,1,200,all,3.9618967110350356,5.051232991859291,3.332091543833042,0.001529670021658846,0.001031879532082169
612,1,400,h001_030,1.289253551633009,1.8972684044801031,-0.2331676894341722,0.00021830697184393089,5.103758524481405e-05
612,1,400,h031_090,1.5635731159828852,2.209207404938784,0.26689650042117763,0.00029562564118523917,8.38491570959413e-05
612,1,400,h091_180,2.183949635335945,2.749538807045227,1.4093153032618244,0.0004769956233895794,6.876546718788686e-05
612,1,400,h181_293,,,,,0.0
612,1,400,all,1.6359147494852573,2.2894158388360557,0.40166545652925845,0.00031765282865283756,0.0002036522095286422
612,2,0,h001_030,9.49297242431285,19.014723050978574,-8.998829856269268,0.023167649403685635,0.0039087269148841705
612,2,0,h031_090,24.88997625693167,36.5752119544758,-24.7572233304861,0.08145704167263551,0.02034548878531912
612,2,0,h091_180,54.6212246436609,65.79905957967635,-54.6212246436609,0.26078181311384896,0.03531229664311715
612,2,0,h181_293,,,,,0.0
612,2,0,all,27.6710283204494,42.39671556598909,-27.461499682724543,0.10877000093822378,0.059566512343320444
612,2,50,h001_030,5.72539897789783,10.195104357189887,-1.1689426317126745,0.007196470632772022,0.0012991222522692582
612,2,50,h031_090,12.745279477830417,19.717273202624426,-2.99698513399283,0.02657153076103053,0.006649865168802867
612,2,50,h091_180,22.727935777923147,32.63995025885326,-8.312295141056937,0.06755923497749604,0.00903808280707513
612,2,50,h181_293,,,,,0.0
612,2,50,all,13.115154914706686,21.810648705762002,-3.77598841546039,0.03096977970084776,0.016987070228147255
612,2,100,h001_030,4.1489833215408565,7.155823128280395,-2.16757843353392,0.0033060492628958047,0.000623835407494447
612,2,100,h031_090,8.51270604538881,12.957140262684867,-5.28800532939821,0.0101602021263894,0.0025729050041495153
612,2,100,h091_180,17.423055030217572,22.006689590961088,-13.841303380034997,0.029738124416679446,0.00405910690038135
612,2,100,h181_293,,,,,0.0
612,2,100,all,9.422589149684002,14.64946520451009,-6.487074450293941,0.012992659020894743,0.007255847312025311
612,2,200,h001_030,3.178330480751793,4.597099040136614,2.125857943497584,0.0012968060021839776,0.00026787643330872284
612,2,200,h031_090,3.2107503280206275,4.610548738660809,1.6701008287946917,0.0013516523847022098,0.0003727616080265873
612,2,200,h091_180,5.033734479362739,6.865453276334956,2.261161369560702,0.003064746392733065,0.0004328985655111745
612,2,200,h181_293,,,,,0.0
612,2,200,all,3.6591331124316886,5.306948283784003,1.9575917427871214,0.0017655755077030282,0.0010735366068464845
612,2,400,h001_030,1.9462645616463263,3.0412789106690825,0.18831955831816838,0.0005639242695174147,0.00011348252855023812
612,2,400,h031_090,2.967244320140976,4.088213840814624,2.456094792615406,0.0010207548654736754,0.0002736428599524757
612,2,400,h091_180,6.070359384965687,7.091063922097258,5.956769396009534,0.0032144656684627952,0.0004610517497153255
612,2,400,h181_293,,,,,0.0
612,2,400,all,3.4361265601367554,4.8218773061594025,2.6449074668089705,0.0014329759722457819,0.0008481771382180393
792,0,0,h001_030,6.5647366147208075,14.314406399826394,-6.319794008284959,0.009364097949820693,0.001104012726172967
792,0,0,h031_090,19.091408235102406,28.63944004986522,-19.02975984995255,0.039815651404557645,0.009402127184368673
792,0,0,h091_180,38.065962803237895,46.34365226575348,-38.06595967681566,0.12101595954502975,0.029874673243317496
792,0,0,h181_293,66.41196615328818,73.37697149638397,-66.41196615328818,0.30350897028505464,0.042367395351147696
792,0,0,all,33.736958475360666,46.67064104916273,-33.67874001421591,0.11999173328880466,0.08274820850500683
792,0,50,h001_030,7.611691644267019,10.640645568164622,-2.243581668186108,0.005307084221070231,0.0008992879498183727
792,0,50,h031_090,10.287627080969523,14.96536154299048,-2.751982272424952,0.010569141214008829,0.002450835964055133
