origin,method,seed,point,total_sse,tail_sse,tail_fraction
972,G_CACHED,1,ATU5,11725.414717833923,5348.348846526894,0.4561330217508002
972,G_CACHED,1,MJ3,515450.6638702574,401362.7947777962,0.7786638429450584
972,G_CACHED,1,MJ1,296377.86386006605,255462.96305183362,0.8619502135707737
972,G_CACHED,2,ATU1,49350.18953983621,10294.101533950112,0.20859294827308736
972,G_CACHED,2,ATU5,24141.229083051694,6677.458151397863,0.27659975920968166
972,G_CACHED,2,MJ3,562711.8241309567,387512.9811988797,0.6886526363602696
972,G_CACHED,2,MJ1,280710.03079742915,211761.6182432389,0.7543785223551701
1168,TiDE_KIN,ensemble,ATU1,13580.781976158529,11510.366462061596,0.8475481369385349
1168,TiDE_KIN,ensemble,ATU5,8507.923239686892,6676.370940946246,0.784723927668152
1168,TiDE_KIN,ensemble,MJ3,51708.43220273748,50669.702293213544,0.9799117887494383
1168,TiDE_KIN,ensemble,MJ1,6414.105053013307,6094.9858486791745,0.9502472750763238
1168,TiDE_KIN,0,ATU1,12746.37990152528,9935.150740301317,0.7794488173942186
1168,TiDE_KIN,0,ATU5,14893.549263859808,11925.00081557746,0.8006822688339488
1168,TiDE_KIN,0,MJ3,42644.987550103826,42083.41331754474,0.9868314129087437
1168,TiDE_KIN,0,MJ1,4851.870753634809,3523.114827178908,0.7261353416183942
1168,TiDE_KIN,1,ATU1,23817.096937499766,22706.09880067139,0.9533529153555603
1168,TiDE_KIN,1,ATU5,8685.684280509242,5845.533799136138,0.6730078610217933
1168,TiDE_KIN,1,MJ3,53694.22832775477,53178.39246234842,0.9903930854121297
1168,TiDE_KIN,1,MJ1,9429.054516708595,9138.182847672764,0.9691515550662693
1168,TiDE_KIN,2,ATU1,12890.719344278354,9367.887135019788,0.7267156226760765
1168,TiDE_KIN,2,ATU5,8259.55779894175,6408.4669492105395,0.7758849935079599
1168,TiDE_KIN,2,MJ3,60906.58427138621,57689.49978115448,0.9471800211961139
1168,TiDE_KIN,2,MJ1,7075.436653152157,6687.333868279245,0.9451478680541914
1168,BPLUS_CONTINUOUS,ensemble,ATU1,19073.301849076357,14228.475237404571,0.7459890977446886
1168,BPLUS_CONTINUOUS,ensemble,ATU5,24343.420765615403,12320.494780499921,0.5061118936046315
1168,BPLUS_CONTINUOUS,ensemble,MJ3,49641.052541264966,48633.838650984384,0.9797100617589984
1168,BPLUS_CONTINUOUS,ensemble,MJ1,11618.710615178446,1554.8232240915768,0.1338206342845296
1168,BPLUS_CONTINUOUS,0,ATU1,19073.301849076357,14228.475237404571,0.7459890977446886
1168,BPLUS_CONTINUOUS,0,ATU5,24343.420765615403,12320.494780499921,0.5061118936046315
1168,BPLUS_CONTINUOUS,0,MJ3,49641.052541264966,48633.838650984384,0.9797100617589984
1168,BPLUS_CONTINUOUS,0,MJ1,11618.710615178446,1554.8232240915768,0.1338206342845296
1168,BPLUS_CONTINUOUS,1,ATU1,19073.301849076357,14228.475237404571,0.7459890977446886
