origin,method,seed,bin,mae,rmse,bias,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
792,BPLUS_CONTINUOUS,0,h181_293,34.559559086376844,35.950622259814018,34.559559086376844,33.2641707697668,0.44469026548672563,75.008991503086577,296.53065124067916,0.48008849557522126,96.272998328704503,516.94375320337315,0.5,114.71635306398765,925.90076825641563
792,BPLUS_CONTINUOUS,0,all,23.582514327478208,27.313324693235966,23.524498631247532,24.157336515615384,0.54948805460750849,75.008991503086577,217.79102734855053,0.56825938566552903,96.272998328704517,366.24197087329276,0.57764505119453924,114.71635306398764,631.1815576174132
792,BPLUS_CONTINUOUS,1,h001_030,2.2857899994014299,2.8488755631944054,2.2653260124486656,7.6143098927466575,0.90833333333333333,75.008991503086577,78.313251725783331,0.91666666666666663,96.272998328704503,100.95884553825219,0.91666666666666663,114.71635306398763,121.04210179669012
792,BPLUS_CONTINUOUS,1,h031_090,9.4900459681844005,11.346800640408361,9.2169679784009713,12.141496441239536,0.64166666666666661,75.008991503086591,112.09393874706842,0.66249999999999998,96.272998328704531,161.07150756402942,0.67083333333333339,114.71635306398767,229.09920948593341
792,BPLUS_CONTINUOUS,1,h091_180,26.294111812415835,26.398120627512878,26.294111812415835,26.248102431498751,0.5,75.008991503086577,235.88637273701056,0.5,96.272998328704517,402.2355281544921,0.5,114.71635306398765,699.24659939855985
792,BPLUS_CONTINUOUS,1,h181_293,34.559559086376844,35.950622259814018,34.559559086376844,33.2641707697668,0.44469026548672563,75.008991503086577,296.53065124067916,0.48008849557522126,96.272998328704503,516.94375320337315,0.5,114.71635306398765,925.90076825641563
792,BPLUS_CONTINUOUS,1,all,23.582514327478208,27.313324693235966,23.524498631247532,24.157336515615384,0.54948805460750849,75.008991503086577,217.79102734855053,0.56825938566552903,96.272998328704517,366.24197087329276,0.57764505119453924,114.71635306398764,631.1815576174132
792,BPLUS_CONTINUOUS,2,h001_030,2.2857899994014299,2.8488755631944054,2.2653260124486656,7.6143098927466575,0.90833333333333333,75.008991503086577,78.313251725783331,0.91666666666666663,96.272998328704503,100.95884553825219,0.91666666666666663,114.71635306398763,121.04210179669012
792,BPLUS_CONTINUOUS,2,h031_090,9.4900459681844005,11.346800640408361,9.2169679784009713,12.141496441239536,0.64166666666666661,75.008991503086591,112.09393874706842,0.66249999999999998,96.272998328704531,161.07150756402942,0.67083333333333339,114.71635306398767,229.09920948593341
792,BPLUS_CONTINUOUS,2,h091_180,26.294111812415835,26.398120627512878,26.294111812415835,26.248102431498751,0.5,75.008991503086577,235.88637273701056,0.5,96.272998328704517,402.2355281544921,0.5,114.71635306398765,699.24659939855985
792,BPLUS_CONTINUOUS,2,h181_293,34.559559086376844,35.950622259814018,34.559559086376844,33.2641707697668,0.44469026548672563,75.008991503086577,296.53065124067916,0.48008849557522126,96.272998328704503,516.94375320337315,0.5,114.71635306398765,925.90076825641563
792,BPLUS_CONTINUOUS,2,all,23.582514327478208,27.313324693235966,23.524498631247532,24.157336515615384,0.54948805460750849,75.008991503086577,217.79102734855053,0.56825938566552903,96.272998328704517,366.24197087329276,0.57764505119453924,114.71635306398764,631.1815576174132
792,DRIFT1,ensemble,h001_030,0.52423032231369238,0.6512332198076205,0.15312020932884185,5.4163670003096662,1,59.109581859581283,59.109581859581283,1,75.866326976862808,75.866326976862808,1,90.400304366035556,90.400304366035556
792,DRIFT1,ensemble,h031_090,2.6650551778748413,2.8815507328945147,-0.26531037230201981,5.8054244824554777,1,59.109581859581283,59.109581859581283,1,75.866326976862837,75.866326976862837,1,90.400304366035584,90.400304366035584
792,DRIFT1,ensemble,h091_180,5.500394800587741,5.6863558081079733,1.9347939712819124,6.5705698931456578,0.94722222222222219,59.109581859581283,59.2204759924021,1,75.866326976862837,75.866326976862837,1,90.40030436603557,90.40030436603557
792,DRIFT1,ensemble,h181_293,6.9258244842736323,7.2065909850591137,0.36029469944006198,6.5144714252915659,1,59.109581859581283,59.109581859581283,1,75.866326976862837,75.866326976862837,1,90.400304366035542,90.400304366035542
792,DRIFT1,ensemble,all,4.9600133758283906,5.8242696894983279,0.6946066293305232,6.2740718102309714,0.9837883959044369,59.109581859581283,59.143644903792456,1,75.866326976862837,75.866326976862837,1,90.400304366035556,90.400304366035556
792,DRIFT1,0,h001_030,0.52423032231369238,0.6512332198076205,0.15312020932884185,5.4163670003096662,1,59.109581859581283,59.109581859581283,1,75.866326976862808,75.866326976862808,1,90.400304366035556,90.400304366035556
792,DRIFT1,0,h031_090,2.6650551778748413,2.8815507328945147,-0.26531037230201981,5.8054244824554777,1,59.109581859581283,59.109581859581283,1,75.866326976862837,75.866326976862837,1,90.400304366035584,90.400304366035584
792,DRIFT1,0,h091_180,5.500394800587741,5.6863558081079733,1.9347939712819124,6.5705698931456578,0.94722222222222219,59.109581859581283,59.2204759924021,1,75.866326976862837,75.866326976862837,1,90.40030436603557,90.40030436603557
792,DRIFT1,0,h181_293,6.9258244842736323,7.2065909850591137,0.36029469944006198,6.5144714252915659,1,59.109581859581283,59.109581859581283,1,75.866326976862837,75.866326976862837,1,90.400304366035542,90.400304366035542
792,DRIFT1,0,all,4.9600133758283906,5.8242696894983279,0.6946066293305232,6.2740718102309714,0.9837883959044369,59.109581859581283,59.143644903792456,1,75.866326976862837,75.866326976862837,1,90.400304366035556,90.400304366035556
792,DRIFT1,1,h001_030,0.52423032231369238,0.6512332198076205,0.15312020932884185,5.4163670003096662,1,59.109581859581283,59.109581859581283,1,75.866326976862808,75.866326976862808,1,90.400304366035556,90.400304366035556
792,DRIFT1,1,h031_090,2.6650551778748413,2.8815507328945147,-0.26531037230201981,5.8054244824554777,1,59.109581859581283,59.109581859581283,1,75.866326976862837,75.866326976862837,1,90.400304366035584,90.400304366035584
792,DRIFT1,1,h091_180,5.500394800587741,5.6863558081079733,1.9347939712819124,6.5705698931456578,0.94722222222222219,59.109581859581283,59.2204759924021,1,75.866326976862837,75.866326976862837,1,90.40030436603557,90.40030436603557
792,DRIFT1,1,h181_293,6.9258244842736323,7.2065909850591137,0.36029469944006198,6.5144714252915659,1,59.109581859581283,59.109581859581283,1,75.866326976862837,75.866326976862837,1,90.400304366035542,90.400304366035542
792,DRIFT1,1,all,4.9600133758283906,5.8242696894983279,0.6946066293305232,6.2740718102309714,0.9837883959044369,59.109581859581283,59.143644903792456,1,75.866326976862837,75.866326976862837,1,90.400304366035556,90.400304366035556
792,DRIFT1,2,h001_030,0.52423032231369238,0.6512332198076205,0.15312020932884185,5.4163670003096662,1,59.109581859581283,59.109581859581283,1,75.866326976862808,75.866326976862808,1,90.400304366035556,90.400304366035556
792,DRIFT1,2,h031_090,2.6650551778748413,2.8815507328945147,-0.26531037230201981,5.8054244824554777,1,59.109581859581283,59.109581859581283,1,75.866326976862837,75.866326976862837,1,90.400304366035584,90.400304366035584
792,DRIFT1,2,h091_180,5.500394800587741,5.6863558081079733,1.9347939712819124,6.5705698931456578,0.94722222222222219,59.109581859581283,59.2204759924021,1,75.866326976862837,75.866326976862837,1,90.40030436603557,90.40030436603557
792,DRIFT1,2,h181_293,6.9258244842736323,7.2065909850591137,0.36029469944006198,6.5144714252915659,1,59.109581859581283,59.109581859581283,1,75.866326976862837,75.866326976862837,1,90.400304366035542,90.400304366035542
792,DRIFT1,2,all,4.9600133758283906,5.8242696894983279,0.6946066293305232,6.2740718102309714,0.9837883959044369,59.109581859581283,59.143644903792456,1,75.866326976862837,75.866326976862837,1,90.400304366035556,90.400304366035556
792,RR_COND,ensemble,h001_030,10.175612038059795,11.106482131933426,10.175612038059795,12.075292589561039,0.78333333333333333,91.560493407760333,108.64987550853667,0.8666666666666667,117.51662103679874,141.89565876230512,0.875,140.02969081440517,176.92542306887435
792,RR_COND,ensemble,h031_090,14.621621157289123,15.435778495807565,14.343364170946314,14.814199507773418,0.64166666666666661,91.560493407760362,122.83024379722528,0.73750000000000004,117.5166210367988,158.20439801616885,0.77916666666666667,140.02969081440517,198.39543050560866
