origin,arm,seed,step,target_index,distance,point,observed,prediction
612,G10_ANCHOR_UNIFORM,ensemble,0,664,53,MJ3,1193.0295021771849,1212.8717453626655
612,G10_ANCHOR_UNIFORM,ensemble,0,664,53,MJ1,893.25545350581228,882.16162899249912
612,G10_ANCHOR_UNIFORM,ensemble,0,665,54,ATU1,420.2094964452728,410.55051927726521
612,G10_ANCHOR_UNIFORM,ensemble,0,665,54,ATU5,520.41932074330987,524.05494349352284
612,G10_ANCHOR_UNIFORM,ensemble,0,665,54,MJ3,1193.037268413075,1213.2208117446473
612,G10_ANCHOR_UNIFORM,ensemble,0,665,54,MJ1,893.82815580528961,882.39263656128844
612,G10_ANCHOR_UNIFORM,ensemble,0,666,55,ATU1,420.64692335928652,410.60086718463464
612,G10_ANCHOR_UNIFORM,ensemble,0,666,55,ATU5,521.03104924279046,524.39092202299048
612,G10_ANCHOR_UNIFORM,ensemble,0,666,55,MJ3,1193.0443322326271,1213.591986475833
612,G10_ANCHOR_UNIFORM,ensemble,0,666,55,MJ1,894.40503759416549,882.63873265605355
612,G10_ANCHOR_UNIFORM,ensemble,0,667,56,ATU1,421.08337561885219,410.66621371671727
612,G10_ANCHOR_UNIFORM,ensemble,0,667,56,ATU5,521.66338635901809,524.74001672014833
612,G10_ANCHOR_UNIFORM,ensemble,0,667,56,MJ3,1193.0505627165171,1214.0100448529965
612,G10_ANCHOR_UNIFORM,ensemble,0,667,56,MJ1,894.98652288272149,882.92444262698882
612,G10_ANCHOR_UNIFORM,ensemble,0,668,57,ATU1,421.51821418031011,411.00450015850089
612,G10_ANCHOR_UNIFORM,ensemble,0,668,57,ATU5,522.31673548156436,525.27587121978922
612,G10_ANCHOR_UNIFORM,ensemble,0,668,57,MJ3,1193.0558289454159,1214.7960025686396
612,G10_ANCHOR_UNIFORM,ensemble,0,668,57,MJ1,895.57303568123916,883.68318296255563
612,G10_ANCHOR_UNIFORM,ensemble,0,669,58,ATU1,421.95080000000002,413.37165163231498
612,G10_ANCHOR_UNIFORM,ensemble,0,669,58,ATU5,522.99150000000009,525.99265489840172
612,G10_ANCHOR_UNIFORM,ensemble,0,669,58,MJ3,1193.0599999999999,1215.761895237493
612,G10_ANCHOR_UNIFORM,ensemble,0,669,58,MJ1,896.16499999999996,884.77842052156518
612,G10_ANCHOR_UNIFORM,ensemble,0,670,59,ATU1,422.3806053034948,415.58086895903335
612,G10_ANCHOR_UNIFORM,ensemble,0,670,59,ATU5,523.68782944770066,526.42805315201167
612,G10_ANCHOR_UNIFORM,ensemble,0,670,59,MJ3,1193.0629851811291,1216.3926567879662
612,G10_ANCHOR_UNIFORM,ensemble,0,670,59,MJ1,896.76262974395104,885.1623465169024
612,G10_ANCHOR_UNIFORM,ensemble,0,671,60,ATU1,422.80754739329859,417.46927223437666
612,G10_ANCHOR_UNIFORM,ensemble,0,671,60,ATU5,524.40485793325729,526.73743218199752
612,G10_ANCHOR_UNIFORM,ensemble,0,671,60,MJ3,1193.0648546704149,1216.8894530904679
612,G10_ANCHOR_UNIFORM,ensemble,0,671,60,MJ1,897.36529839670175,885.34319682121748
612,G10_ANCHOR_UNIFORM,ensemble,0,672,61,ATU1,423.23165484114872,419.17358989863334
612,G10_ANCHOR_UNIFORM,ensemble,0,672,61,ATU5,525.14146570906587,527.00784986807753
612,G10_ANCHOR_UNIFORM,ensemble,0,672,61,MJ3,1193.06571886966,1217.3188769347882
612,G10_ANCHOR_UNIFORM,ensemble,0,672,61,MJ1,897.97216933652703,885.4784191128615
612,G10_ANCHOR_UNIFORM,ensemble,0,673,62,ATU1,423.65295621878181,420.73785708845054
