origin,method,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
792,G_CACHED,MJ3,293,3.6744058191793161,5.1168290497403168,18.960772611372469,1,206.5382621501731,206.5382621501731,1,265.08898957772226,265.08898957772226,1,315.87301371818512,315.87301371818512
792,G_CACHED,MJ1,293,14.20520628895628,15.802713764397582,9.4393367641084822,0.97269624573378843,58.328250577459805,59.049652710084466,1,74.863499133020454,74.863499133020454,1,89.205361287563846,89.205361287563846
792,G_REFRESH,ATU1,293,27.731120133282985,30.509947172206449,22.143652648413866,0.25597269624573377,30.864587429048907,175.84403679618512,0.26621160409556316,39.614269095335189,264.91197217042935,0.2696245733788396,47.203313065999481,386.63199442454948
792,G_REFRESH,ATU5,293,39.086299225483678,43.52383778931604,32.335480935805897,0.26279863481228671,37.866835368116661,267.7635938089129,0.27303754266211605,48.601557027440094,429.86293990442977,0.27303754266211605,57.91232715515207,685.06348627413752
792,G_REFRESH,MJ3,293,4.2686432006100157,5.9035846763603201,18.601473470827766,1,202.08823905967574,202.08823905967574,1,259.37744677506362,259.37744677506362,1,309.06729070068059,309.06729070068059
792,G_REFRESH,MJ1,293,17.127002351322059,18.800125075759411,11.04661173335259,0.95563139931740615,55.50364507123799,57.409218320053171,0.9965870307167235,71.238157214264433,71.289108622710614,1,84.885499947941298,84.885499947941298
972,BPLUS_CONTINUOUS,ATU1,293,57.476507409896605,59.098537058947514,40.674921696909138,0.18088737201365188,83.207794070776117,248.11171357727278,0.40955631399317405,106.79604750027062,272.55402343459434,0.57337883959044367,127.25533954027313,258.87847161161267
972,BPLUS_CONTINUOUS,ATU5,293,65.468688930976498,66.249561375033295,43.837948801575948,0.15017064846416384,110.67009302833526,217.77345323755955,0.72013651877133111,142.04352661795338,186.17981852058873,0.95904436860068254,169.25530141197103,171.06800855906985
972,BPLUS_CONTINUOUS,MJ3,293,57.516529312457109,70.488055064486446,54.986507593608941,0.28327645051194539,13.193877259274814,529.73262527998702,0.29010238907849828,16.934158130616197,1023.3335597061871,0.29692832764505117,20.17829398353706,1987.1431188139793
972,BPLUS_CONTINUOUS,MJ1,293,65.790696965530515,72.8334032590692,52.868433243217346,0.29692832764505117,63.572658182608286,413.93387727680209,0.34812286689419797,81.594623422095992,660.85369677641438,0.38566552901023893,97.225990579971963,1058.2049404041484
