origin,seed,age_bin,point,origin_draws,unique_origins,query_draws,horizon_mean,horizon_min,horizon_max,initial_residual_mean_mm,future_residual_mean_mm,change_mean_mm,future_negative_fraction,initial_energy_mm2,change_energy_mm2,cross_energy_mm2,residual_energy_mm2
792,1,0,MJ3,6,2,96,105.15625,2,280,-0.0043874369072606596,-48.69272596648532,-48.688338529578061,0.97916666666666663,5.1805716981965534e-05,3637.3908729350064,0.51692851290656561,3637.90785325363
792,1,0,MJ1,6,2,96,105.15625,2,280,-0.0042203307521807192,-13.902705719616913,-13.898485388864733,0.71875,2.3112213349577048e-05,458.0171667515512,0.14335329694090232,458.16054316070546
792,1,1-29,ATU1,123,51,1968,116.4303861788618,1,293,28.554874171979865,27.658111992672445,-0.89676217930742352,0.2342479674796748,1694.8290928249769,195.46437397104745,-394.94406221834004,1495.3494045776845
792,1,1-29,ATU5,123,51,1968,116.4303861788618,1,293,32.72798613083058,76.451731472217304,43.723745341386717,0.17276422764227642,2500.7459039446858,3799.1713037743893,4787.8946802686723,11087.811887987746
792,1,1-29,MJ3,123,51,1968,116.4303861788618,1,293,0.45749415454537395,-42.135812830424086,-42.593306984969459,0.93394308943089432,50.468519397387823,2754.0781266458016,20.310903529060557,2824.8575495722503
792,1,1-29,MJ1,123,51,1968,116.4303861788618,1,293,-0.065826545246285437,-18.959471172218191,-18.893644626971906,0.8277439024390244,1.8024606251624791,617.71145713585759,-8.2550806863539439,611.25883707466608
792,1,30-89,ATU1,244,111,3904,106.15625,1,293,27.758028015543371,25.121153806592432,-2.636874208950942,0.3004610655737705,1453.1186310051855,74.791037600679005,-204.24023675514326,1323.6694318507214
792,1,30-89,ATU5,244,111,3904,106.15625,1,293,64.035706818142316,75.837356209633782,11.801649391491456,0.090932377049180321,8114.706509027932,554.30772790726871,2128.3371459497139,10797.351382884914
792,1,30-89,MJ3,244,111,3904,106.15625,1,293,-12.930561066782953,-58.383036006807352,-45.452474940024395,0.99334016393442626,375.23214697453921,3034.8002788687791,1102.5327087793041,4512.5651346226223
792,1,30-89,MJ1,244,111,3904,106.15625,1,293,-2.0469051503591027,-26.103700626197508,-24.056795475838403,0.9254610655737705,104.89360755677082,783.54211644514112,54.860836519403705,943.29656052131566
