start,end,teacher,point,index,date,residual,slow,fast,diagnostic_retained
792,972,792,ATU1,804,2018-09-13,-2.8585333793423047,-0.93224313720759588,-1.9262902421347088,False
792,972,792,ATU1,805,2018-09-14,-2.9471501654884946,-1.0622371390321699,-1.8849130264563247,False
792,972,792,ATU1,806,2018-09-15,-3.0166209027073023,-1.1883264141079848,-1.8282944885993175,False
792,972,792,ATU1,807,2018-09-16,-3.1079506208455427,-1.312173137123311,-1.7957774837222318,False
792,972,792,ATU1,808,2018-09-17,-3.2190235515686254,-1.4351957445068795,-1.7838278070617459,False
792,972,792,ATU1,809,2018-09-18,-3.3416768385451974,-1.558194524767416,-1.7834823137777813,False
792,972,792,ATU1,810,2018-09-19,-3.7141005656151265,-1.6972852370801714,-2.016815328534955,False
792,972,792,ATU1,811,2018-09-20,-4.7170502902645239,-1.8921087888985166,-2.8249415013660073,False
792,972,792,ATU1,812,2018-09-21,-5.7121024953144115,-2.1385599957640582,-3.5735424995503533,False
792,972,792,ATU1,813,2018-09-22,-6.5295983381770952,-2.42185279204877,-4.1077455461283252,False
792,972,792,ATU1,814,2018-09-23,-7.180383280071851,-2.728854759018001,-4.4515285210538504,False
792,972,792,ATU1,815,2018-09-24,-7.8886693813385591,-3.0617460249741661,-4.826923356364393,False
792,972,792,ATU1,816,2018-09-25,-8.5791618837521355,-3.4177083384437124,-5.1614535453084232,False
792,972,792,ATU1,817,2018-09-26,-9.1660297151502164,-3.7885677821021959,-5.3774619330480204,False
792,972,792,ATU1,818,2018-09-27,-8.5341593503459308,-4.0947349800534045,-4.4394243702925262,False
792,972,792,ATU1,819,2018-09-28,-7.8446261977439917,-4.3366634457108617,-3.50796275203313,False
792,972,792,ATU1,820,2018-09-29,-7.3484928812162593,-4.5309750221950802,-2.8175178590211791,False
792,972,792,ATU1,821,2018-09-30,-7.0307184587945244,-4.6922487922982699,-2.3384696664962545,False
792,972,792,ATU1,822,2018-10-01,-6.8394995043292965,-4.8307810963002717,-2.0087184080290248,True
792,972,792,ATU1,823,2018-10-02,-6.7314439836049473,-4.9534045083844447,-1.7780394752205027,True
792,972,792,ATU1,824,2018-10-03,-6.6759367378709271,-5.0645356199642171,-1.61140111790671,True
792,972,792,ATU1,825,2018-10-04,-6.6520470361658681,-5.166955711332065,-1.4850913248338031,True
792,972,792,ATU1,826,2018-10-05,-6.6456023602255527,-5.2623522693251932,-1.3832500909003596,True
792,972,792,ATU1,827,2018-10-06,-6.7043874767587113,-5.3553867988370332,-1.3490006779216781,True
792,972,792,ATU1,828,2018-10-07,-6.7761686998366599,-5.4470501472886221,-1.3291185525480378,True
792,972,792,ATU1,829,2018-10-08,-6.8728740923579608,-5.539038788905998,-1.3338353034519628,True
792,972,792,ATU1,830,2018-10-09,-7.0072599714194439,-5.6337627361649298,-1.3734972352545141,True
792,972,792,ATU1,831,2018-10-10,-7.0018059252667513,-5.722023587074724,-1.2797823381920272,True
792,972,792,ATU1,832,2018-10-11,-6.9700953605482141,-5.8025443466536588,-1.1675510138945553,True
792,972,792,ATU1,833,2018-10-12,-6.9402344334629333,-5.8759437070929668,-1.0642907263699666,True
792,972,792,ATU1,834,2018-10-13,-6.9405989036146707,-5.9446311391266251,-0.99596776448804558,True
792,972,792,ATU1,835,2018-10-14,-6.9408417428642224,-6.0089027909806632,-0.93193895188355924,True
792,972,792,ATU1,836,2018-10-15,-6.9150510595296169,-6.0673639695967241,-0.84768708993289277,True
792,972,792,ATU1,837,2018-10-16,-6.8822733784076604,-6.1199387701651711,-0.76233460824248933,True
792,972,792,ATU1,838,2018-10-17,-6.8467360721849673,-6.1668289186825769,-0.67990715350239039,True
792,972,792,ATU1,839,2018-10-18,-6.8777584761459707,-6.2126953417447313,-0.66506313440123943,True
792,972,792,ATU1,840,2018-10-19,-7.0718922183390305,-6.2681273982992023,-0.80376482003982819,True
792,972,792,ATU1,841,2018-10-20,-7.2980709066367808,-6.3345753665790454,-0.96349554005773541,True
792,972,792,ATU1,842,2018-10-21,-7.5030954227264033,-6.4099637572982298,-1.0931316654281735,True
792,972,792,ATU1,843,2018-10-22,-7.4459478334532037,-6.4768014396308082,-0.96914639382239542,True
792,972,792,ATU1,844,2018-10-23,-7.3555546670741023,-6.5334951962400529,-0.8220594708340494,True
