phase,model,seed,horizon,point,n,mae,rmse
development,TCN_BRES,0,2,MJ3,375,0.113846495031873,0.139182198632107
development,TCN_BRES,0,2,MJ1,375,0.140375819692149,0.170402620805681
development,TCN_BRES,0,3,ATU1,374,0.330583255455693,0.40484104876349
development,TCN_BRES,0,3,ATU5,374,0.425951973938179,0.607971324084321
development,TCN_BRES,0,3,MJ3,374,0.174594228039267,0.214046420874455
development,TCN_BRES,0,3,MJ1,374,0.218135155450935,0.264043204783473
development,TCN_BRES,0,4,ATU1,373,0.474366589028537,0.651777194803246
development,TCN_BRES,0,4,ATU5,373,0.664437222638823,1.02010398563956
development,TCN_BRES,0,4,MJ3,373,0.234310484406139,0.28627618617758
development,TCN_BRES,0,4,MJ1,373,0.300413866632415,0.362909735688259
development,TCN_BRES,0,5,ATU1,372,0.635539950823249,1.03506271978155
development,TCN_BRES,0,5,ATU5,372,0.937643340664433,1.50765701826381
development,TCN_BRES,0,5,MJ3,372,0.295344347961542,0.358124317907693
development,TCN_BRES,0,5,MJ1,372,0.388050713219905,0.468877709181638
development,TCN_BRES,0,6,ATU1,371,0.813104245399042,1.510874315525
development,TCN_BRES,0,6,ATU5,371,1.2348073874968,2.06666105777249
development,TCN_BRES,0,6,MJ3,371,0.358493229494958,0.4310701362539
development,TCN_BRES,0,6,MJ1,371,0.479773508896252,0.579801973461073
development,TCN_BRES,0,7,ATU1,370,1.01276193006993,2.05339439426858
development,TCN_BRES,0,7,ATU5,370,1.55873891955926,2.72816653476401
development,TCN_BRES,0,7,MJ3,370,0.425124274702928,0.506939949540238
development,TCN_BRES,0,7,MJ1,370,0.576868829105764,0.696990841178428
development,TCN_BRES,1,1,ATU1,376,0.0979520468380838,0.141559813048845
development,TCN_BRES,1,1,ATU5,376,0.138976320850531,0.198362038403058
development,TCN_BRES,1,1,MJ3,376,0.0653323672341785,0.0714167719097931
development,TCN_BRES,1,1,MJ1,376,0.0739341963315136,0.0844842929014002
development,TCN_BRES,1,2,ATU1,375,0.204398980112219,0.273862439252975
development,TCN_BRES,1,2,ATU5,375,0.280556304903978,0.379341718604212
development,TCN_BRES,1,2,MJ3,375,0.131503383437313,0.143299500138751
development,TCN_BRES,1,2,MJ1,375,0.156809922898525,0.178355755503406
development,TCN_BRES,1,3,ATU1,374,0.352920666876723,0.479215230189512
development,TCN_BRES,1,3,ATU5,374,0.45702460811376,0.627656535995492
development,TCN_BRES,1,3,MJ3,374,0.198190827795681,0.214503495245429
development,TCN_BRES,1,3,MJ1,374,0.244868477660415,0.277740812522133
development,TCN_BRES,1,4,ATU1,373,0.543285945568015,0.789992493156062
development,TCN_BRES,1,4,ATU5,373,0.668638734426699,0.958447642225362
development,TCN_BRES,1,4,MJ3,373,0.265003446738821,0.285647126118029
development,TCN_BRES,1,4,MJ1,373,0.336758301090205,0.381529689802889
development,TCN_BRES,1,5,ATU1,372,0.76985990490325,1.19149964032402
development,TCN_BRES,1,5,ATU5,372,0.902222681235123,1.33791400182079
development,TCN_BRES,1,5,MJ3,372,0.331686960849153,0.357682337652409
development,TCN_BRES,1,5,MJ1,372,0.433118726447203,0.490303451874386
development,TCN_BRES,1,6,ATU1,371,1.04543916888654,1.66535401322888
development,TCN_BRES,1,6,ATU5,371,1.16283935904993,1.76843264998547
development,TCN_BRES,1,6,MJ3,371,0.398458026982943,0.431179130349886
development,TCN_BRES,1,6,MJ1,371,0.534027922949552,0.604436038167539
development,TCN_BRES,1,7,ATU1,370,1.37962096421743,2.20595594549021
development,TCN_BRES,1,7,ATU5,370,1.46128316300863,2.28514985395267
development,TCN_BRES,1,7,MJ3,370,0.465378280820685,0.506561822464068
development,TCN_BRES,1,7,MJ1,370,0.639636836116617,0.724168004544711
development,TCN_BRES,2,1,ATU1,376,0.165005862096884,0.29413791614233
development,TCN_BRES,2,1,ATU5,376,0.246498260224806,0.305263644372915
development,TCN_BRES,2,1,MJ3,376,0.0437893496171296,0.0568466794944202
development,TCN_BRES,2,1,MJ1,376,0.0674753560569215,0.0840163936813501
development,TCN_BRES,2,2,ATU1,375,0.325481744514117,0.506478822753052
development,TCN_BRES,2,2,ATU5,375,0.498137355629762,0.599308284525122
development,TCN_BRES,2,2,MJ3,375,0.0858384859838085,0.113727196219822
development,TCN_BRES,2,2,MJ1,375,0.142716430398095,0.172769803696725
development,TCN_BRES,2,3,ATU1,374,0.486334911270287,0.659186648529768
development,TCN_BRES,2,3,ATU5,374,0.779217178090093,0.926697207936242
development,TCN_BRES,2,3,MJ3,374,0.128355872110148,0.174778831816167
development,TCN_BRES,2,3,MJ1,374,0.226153749718227,0.270379758467777
development,TCN_BRES,2,4,ATU1,373,0.659531741011171,0.85546972818177
development,TCN_BRES,2,4,ATU5,373,1.11415159217575,1.33108519850553
development,TCN_BRES,2,4,MJ3,373,0.171989933651333,0.241531592980474
development,TCN_BRES,2,4,MJ1,373,0.316102216053685,0.375558913789648
development,TCN_BRES,2,5,ATU1,372,0.893426521665041,1.16893205406998
development,TCN_BRES,2,5,ATU5,372,1.51768644150924,1.83740663778496
development,TCN_BRES,2,5,MJ3,372,0.217271661777577,0.314242933096086
development,TCN_BRES,2,5,MJ1,372,0.410557028461073,0.486480271167025
development,TCN_BRES,2,6,ATU1,371,1.21074999964579,1.60644747725074
development,TCN_BRES,2,6,ATU5,371,1.99035570008406,2.45543646104372
development,TCN_BRES,2,6,MJ3,371,0.265357480365932,0.393631423346815
development,TCN_BRES,2,6,MJ1,371,0.511897813055092,0.604729639973584
development,TCN_BRES,2,7,ATU1,370,1.58614867458078,2.14433889147097
development,TCN_BRES,2,7,ATU5,370,2.52515906993176,3.18754374541937
development,TCN_BRES,2,7,MJ3,370,0.318175266381993,0.478601831039768
development,TCN_BRES,2,7,MJ1,370,0.618446339722135,0.728700124769508
later_exploratory,TCN_DIRECT,0,1,ATU1,293,0.141648048353353,0.192104581467951
later_exploratory,TCN_DIRECT,0,1,ATU5,293,0.117069220040005,0.154706099890433
later_exploratory,TCN_DIRECT,0,1,MJ3,293,0.0483363500445928,0.0663367758057866
later_exploratory,TCN_DIRECT,0,1,MJ1,293,0.0572483660410844,0.0714123172991672
later_exploratory,TCN_DIRECT,0,2,ATU1,292,0.276760173291359,0.36825128134375
later_exploratory,TCN_DIRECT,0,2,ATU5,292,0.236853819312733,0.309488963531424
later_exploratory,TCN_DIRECT,0,2,MJ3,292,0.0976921168315827,0.133525313112363
later_exploratory,TCN_DIRECT,0,2,MJ1,292,0.116804447183839,0.145014732084478
later_exploratory,TCN_DIRECT,0,3,ATU1,291,0.409845574930246,0.532116020026814
later_exploratory,TCN_DIRECT,0,3,ATU5,291,0.363169247797426,0.469077383762238
