phase,model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse,role,limitation
development,CL_BRES,4,373,0.880219918859092,1.48461561992207,0.687134818048657,0.782171581769437,3.20718458070252,4.84463296700681,0.876675603217158,4.1163768448362,6.54478159189638,0.916890080428954,4.90496554251244,8.87848948251662,1.58968088662321,historical_only_excluded_from_selection_and_gates,v4_inputs_and_separately_selected_checkpoints
development,CL_BRES,5,372,1.1150201059162,1.89449532495281,0.876924603381933,0.775537634408602,4.07432146301281,6.24527920677737,0.872983870967742,5.22933498423448,8.49864588148886,0.912634408602151,6.23113696213243,11.6441518592566,2.04929939941455,historical_only_excluded_from_selection_and_gates,v4_inputs_and_separately_selected_checkpoints
development,CL_BRES,6,371,1.35050491289269,2.31133045311569,1.06927685151736,0.77088948787062,4.94556093037745,7.6941856297276,0.871967654986523,6.34755873454375,10.5257524819213,0.90633423180593,7.56358274414739,14.5223941393219,2.52435182141853,historical_only_excluded_from_selection_and_gates,v4_inputs_and_separately_selected_checkpoints
development,CL_BRES,7,370,1.58484900599455,2.73162426478267,1.26242471615269,0.767567567567568,5.81880552146454,9.18434553282441,0.866216216216216,7.46835603328917,12.6156346259228,0.902702702702703,8.89909509826618,17.4842530918064,3.01047682830808,historical_only_excluded_from_selection_and_gates,v4_inputs_and_separately_selected_checkpoints
development,PINN_EQ,1,376,0.229320089014069,0.395943638335157,0.175646184421622,0.779255319148936,0.825126308477344,1.24790211682235,0.869015957446808,1.05903815162934,1.66641126333018,0.90093085106383,1.26192179135986,2.21679510298218,0.425738608310227,historical_only_excluded_from_selection_and_gates,v4_physical_acceptance_failed
development,PINN_EQ,2,375,0.457071068652138,0.865951310428937,0.365056824526449,0.798666666666667,1.69766058309598,2.73320654745578,0.868,2.17892376905749,3.81327639129825,0.906666666666667,2.59634781018539,5.33878461003265,0.921286623182228,historical_only_excluded_from_selection_and_gates,v4_physical_acceptance_failed
development,PINN_EQ,3,374,0.698017620397363,1.3639539196392,0.570150998124116,0.79879679144385,2.64459682378112,4.36576547127825,0.875,3.39430327610125,6.19316987564465,0.918449197860963,4.04456181678288,8.91029572257356,1.45625252123801,historical_only_excluded_from_selection_and_gates,v4_physical_acceptance_failed
development,PINN_EQ,4,373,0.939826042238111,1.8770244744519,0.782274126897825,0.800268096514745,3.61783505065055,6.08811851367552,0.892761394101877,4.64344101694097,8.7407987129361,0.927613941018767,5.53300123999961,12.7977000128036,2.01761596534923,historical_only_excluded_from_selection_and_gates,v4_physical_acceptance_failed
development,PINN_EQ,5,372,1.18376331985994,2.40366849757479,1.00082121007209,0.807123655913978,4.60386135080175,7.88448439812405,0.89247311827957,5.90899207214493,11.4230036419102,0.924059139784946,7.04099833357297,16.9492924429535,2.60284793742034,historical_only_excluded_from_selection_and_gates,v4_physical_acceptance_failed
development,PINN_EQ,6,371,1.43304047508266,2.94344202402961,1.22634369913809,0.81266846361186,5.59844834504035,9.75003852456352,0.890161725067385,7.18553065925743,14.2266489490794,0.929919137466307,8.56208787894074,21.3326458865946,3.21009976520884,historical_only_excluded_from_selection_and_gates,v4_physical_acceptance_failed
