check,values,max_difference,tolerance
612/G_REFRESH/1/0/numpy,1172,0,9.9999999999999995e-08
612/G_REFRESH/1/0/h0,4,0,1e-10
612/G_REFRESH/1/zero,1172,0,0
612/G_REFRESH/1/init/adjacency,16,0,0
612/G_REFRESH/1/init/gru.weight_ih_l0,336,0,0
612/G_REFRESH/1/init/gru.weight_hh_l0,192,0,0
612/G_REFRESH/1/init/gru.bias_ih_l0,24,0,0
612/G_REFRESH/1/init/gru.bias_hh_l0,24,0,0
612/G_REFRESH/1/init/message.weight,64,0,0
612/G_REFRESH/1/init/message.bias,8,0,0
612/G_REFRESH/1/init/point.weight,16,0,0
612/G_REFRESH/1/init/decode.weight,544,0,0
612/G_REFRESH/1/init/decode.bias,16,0,0
612/G_REFRESH/1/init/head.weight,16,0,0
612/G_REFRESH/1/init/head.bias,1,0,0
612/G_REFRESH/1/50/reload,1172,0,0
612/G_REFRESH/1/50/change,1172,0,0
612/G_REFRESH/1/50/numpy,1172,2.2737367544323206e-13,9.9999999999999995e-08
612/G_REFRESH/1/50/h0,4,5.6843418860808015e-14,1e-10
612/G_REFRESH/1/100/reload,1172,0,0
612/G_REFRESH/1/100/change,1172,0,0
612/G_REFRESH/1/100/numpy,1172,2.2737367544323206e-13,9.9999999999999995e-08
612/G_REFRESH/1/100/h0,4,0,1e-10
612/G_REFRESH/1/200/reload,1172,0,0
612/G_REFRESH/1/200/change,1172,0,0
612/G_REFRESH/1/200/numpy,1172,2.2737367544323206e-13,9.9999999999999995e-08
612/G_REFRESH/1/200/h0,4,0,1e-10
612/G_REFRESH/1/future_label_poison,1172,0,0
612/G_REFRESH/2/origins,800,0,0
612/G_REFRESH/2/distances,12800,0,0
612/G_REFRESH/2/loss,200,0,0
612/G_REFRESH/2/0/reload,1172,0,0
612/G_REFRESH/2/0/change,1172,0,0
612/G_REFRESH/2/0/numpy,1172,0,9.9999999999999995e-08
612/G_REFRESH/2/0/h0,4,0,1e-10
612/G_REFRESH/2/zero,1172,0,0
612/G_REFRESH/2/init/adjacency,16,0,0
612/G_REFRESH/2/init/gru.weight_ih_l0,336,0,0
612/G_REFRESH/2/init/gru.weight_hh_l0,192,0,0
612/G_REFRESH/2/init/gru.bias_ih_l0,24,0,0
