outer_days,branch,strategy,station,part,first_index,end_index_exclusive,days,rmse_mm,mae_mm,bias_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
432,NEW,P0,MJ3,outer_train,30,432,402,6.545388968296211,5.642903753780936,0.2836226039307987,6.172962837778656,1.0,59.75862724224088,59.75862724224088,1.0,76.69936800762032,76.69936800762032,1.0,91.39293386645171,91.39293386645171
432,NEW,P0,MJ1,outer_train,30,432,402,8.277645765670897,6.927245936145315,-1.4748320227623013,5.3145446776883505,0.3781094527363184,10.537824789370815,38.569799138466614,0.48507462686567165,13.52515174492545,52.60468290791045,0.5895522388059702,16.116212311357582,70.3668259468702
432,NEW,P0,ATU1,prediction,432,612,180,55.386000418770955,54.513970896972424,-54.513970896972424,36.03956067232512,0.16666666666666666,97.8969430955823,168.29153845489765,0.9444444444444444,125.6493666574992,140.75374258175128,0.9666666666666667,149.72045475197956,159.11091435770655
432,NEW,P0,ATU5,prediction,432,612,180,140.06419011407704,134.6063919201048,-134.6063919201048,106.70341561410947,0.06666666666666667,134.34498371705558,831.0425103555029,0.13333333333333333,172.42992052549423,1223.9961002212544,0.17222222222222222,205.4629227403582,1748.5565414047974
432,NEW,P0,MJ3,prediction,432,612,180,14.720515018928182,12.545990697413949,9.369023589531562,8.931087249357883,1.0,59.75862724224062,59.75862724224062,1.0,76.69936800761951,76.69936800761951,1.0,91.39293386645186,91.39293386645186
432,NEW,P0,MJ1,prediction,432,612,180,21.877992443612733,18.144087691792183,17.989047984031647,16.371228819011314,0.23333333333333334,10.537824789370836,148.55283286270986,0.25555555555555554,13.52515174492547,266.9179650094598,0.2722222222222222,16.116212311357604,484.6858662505409
432,NEW,IN,ATU1,old_fit_context,30,342,312,12.380801610745586,11.073746787171153,-11.031495541833104,10.706176461614065,1.0,100.62412940527412,100.62412940527412,1.0,129.2612526925922,129.2612526925922,1.0,154.16305569296702,154.16305569296702
432,NEW,IN,ATU5,old_fit_context,30,342,312,19.666058784644186,16.688692300248036,-16.65567515043873,15.678582077506174,1.0,141.88425467615954,141.88425467615954,1.0,182.13443471221845,182.13443471221845,1.0,217.06179456456252,217.06179456456252
432,NEW,IN,MJ3,old_fit_context,30,342,312,6.068870346091891,5.29435933732847,-3.4952479789331994,6.192435494056276,1.0,61.19672392132552,61.19672392132552,1.0,78.59195443131814,78.59195443131814,1.0,93.70715721271073,93.70715721271073
432,NEW,IN,MJ1,old_fit_context,30,342,312,7.509007170169629,6.413194231267959,-1.022798719668363,4.7600424368921335,0.4230769230769231,11.296659303137789,32.41317615442545,0.5512820512820513,14.377501494604404,40.838167537324594,0.7339743589743589,17.014564914656113,52.374324088494575
432,NEW,IN,ATU1,scale_context,342,432,90,16.492979793959424,10.975307010310754,-9.474891070008988,11.797876967320853,1.0,100.69918338551274,100.69918338551274,1.0,129.3575177449243,129.3575177449243,1.0,154.27743212560847,154.27743212560847
432,NEW,IN,ATU5,scale_context,342,432,90,7.2713590268165715,5.565626637747802,-0.06539470351625722,13.324628863469702,1.0,141.97301164730877,141.97301164730877,1.0,182.2487088976923,182.2487088976923,1.0,217.19835181285546,217.19835181285546
432,NEW,IN,MJ3,scale_context,342,432,90,6.553683283407963,5.782079828095489,5.597519588517293,6.252416522463516,1.0,60.649136273294474,60.649136273294474,1.0,77.90987261350246,77.90987261350246,1.0,92.92094336516715,92.92094336516715
432,NEW,IN,MJ1,scale_context,342,432,90,3.177301539823259,2.781461552978955,-1.0233767989087166,1.8929950438374612,0.9,10.73377055671424,11.697722404598979,1.0,13.720772653017853,13.720772653017853,1.0,16.29613916747624,16.29613916747624
432,NEW,IN,ATU1,outer_train,30,432,402,13.411432336685806,11.05170803115763,-10.683002003365017,10.950587022593197,1.0,100.6409325351783,100.6409325351783,1.0,129.28280456997996,129.28280456997996,1.0,154.18866235699124,154.18866235699124
