stage,model,component,phase,valid_days,mask_sha256,station,metric,value,unit,status
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ1,interval_score_95,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,four_point_mean,interval_score_95,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,pooled,rmse,41.604479880077754,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,ATU1,rmse,12.12061220337945,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,ATU5,rmse,16.622195814887352,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,MJ3,rmse,14.546922536462928,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,MJ1,rmse,8.039703889952271,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,four_point_mean,rmse,12.8323586111705,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,ATU1,mae,7.991466305348948,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,ATU5,mae,12.371456182607602,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,MJ3,mae,11.41887299723195,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,MJ1,mae,6.543584625410901,mm,valid
